#
#    First two columns are Eta range.
#    Next 2 columns are PT range.
#    Column 5 & 6 & 7 shows the efficiency in data and statistical error.
#    Column 8 & 9 & 10 shows the efficiency in MC and statistical error.
#    Column 11 onwards (if available) shows the systematics uncertainty 
#
#    
#                                                 data                                                      MC
#     etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                      eff     deff_high       deff_low
1.6     2.1     30      35      0.989051        0.00272189       0.00278403                0.996257        0.000776584      0.000812699
2.1     2.4     30      35      0.942555        0.00506148       0.00517298                0.983421        0.00161975       0.00168222
-2.4    -2.1    35      40      0.949548        0.00400555       0.00407268                0.984803        0.00135953       0.00141114
-2.1    -1.6    35      40      0.984638        0.002021         0.00206387                0.996334        0.000535164      0.000559066
-1.6    -1.2    35      40      0.994448        0.00180527       0.00186182                0.995086        0.000624752      0.000654584
-1.2    -0.8    35      40      0.987705        0.00170229       0.00175135                0.991998        0.000645646      0.000665241
-0.8    -0.3    35      40      0.983191        0.00154494       0.00157309                0.994586        0.000466557      0.000482166
-0.3    0.3     35      40      0.96967 0.00159695       0.00161766                        0.986228        0.000597425      0.000608375
0.3     0.8     35      40      0.984418        0.00151743       0.00154145                0.993594        0.000497611      0.00051328
0.8     1.2     35      40      0.984137        0.00179092       0.00182808                0.992309        0.000650495      0.000676905
1.2     1.6     35      40      0.993747        0.00198702       0.00204742                0.996262        0.000615524      0.000644158
1.6     2.1     35      40      0.986191        0.00190267       0.00195172                0.995507        0.000580781      0.000606096
2.1     2.4     35      40      0.951368        0.00381557       0.00389164                0.984649        0.0012849        0.00132651
-2.4    -2.1    40      60      0.94393 0.00249083       0.00251457                        0.98396 0.000823182      0.000842138
-2.1    -1.6    40      60      0.985447        0.00098901       0.00101224                0.99716 0.000270283      0.000279586
-1.6    -1.2    40      60      0.992373        0.000885119      0.00090451                0.995734        0.000317255      0.000326136
-1.2    -0.8    40      60      0.987435        0.00091133       0.000928314               0.993348        0.000343084      0.000351976
-0.8    -0.3    40      60      0.98379 0.000885567      0.000899271                       0.995072        0.000271787      0.000280182
-0.3    0.3     40      60      0.971991        0.000950298      0.000958323               0.986142        0.000378732      0.000382878
0.3     0.8     40      60      0.987279        0.000840052      0.000856827               0.994305        0.000288531      0.000294705
