#
#    First two columns are Eta range.
#    Next 2 columns are PT range.
#    Column 5 & 6 & 7 shows the efficiency in data and statistical error.
#    Column 8 & 9 & 10 shows the efficiency in MC and statistical error.
#    Column 11 onwards (if available) shows the systematics uncertainty 
#
#    
#                                                 data                                                      MC
#     etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                      eff     deff_high       deff_low
-2.4    -2.1    10      12      0.716722        0.0185317        0.0189061                   0.734464        0.0191584        0.0195058
-2.1    -1.6    10      12      0.737193        0.0137851        0.0139647                   0.758326        0.013686         0.0138621
-1.6    -1.2    10      12      0.724135        0.0166874        0.0168739                   0.768744        0.016476         0.0168792
-1.2    -0.8    10      12      0.672111        0.0182877        0.0185305                   0.655623        0.0204997        0.0207202
-0.8    -0.3    10      12      0.630061        0.0244071        0.024406                    0.650178        0.0274299        0.0271679
-0.3    0.3     10      12      0.624511        0.0264747        0.0269795                   0.599159        0.0257636        0.0258929
0.3     0.8     10      12      0.627657        0.0253724        0.025532                    0.674054        0.0244931        0.0235466
0.8     1.2     10      12      0.660573        0.0203287        0.0208771                   0.700194        0.0191498        0.0196049
1.2     1.6     10      12      0.722649        0.0164981        0.016701                    0.714407        0.0169007        0.0171357
1.6     2.1     10      12      0.758188        0.0139571        0.0141255                   0.77312 0.0151839        0.0159139
2.1     2.4     10      12      0.704048        0.0196147        0.019854                    0.740518        0.0204191        0.0208489
-2.4    -2.1    12      14      0.770463        0.0159977        0.0162609                   0.813939        0.0151561        0.0154911
-2.1    -1.6    12      14      0.790758        0.0126287        0.011974                    0.796709        0.0130061        0.0121536
-1.6    -1.2    12      14      0.809767        0.0124456        0.0127312                   0.767467        0.01336  0.0136934
-1.2    -0.8    12      14      0.737526        0.01441  0.0146258                           0.761775        0.0153355        0.0155197
-0.8    -0.3    12      14      0.66291 0.0169159        0.0171749                           0.716185        0.0196768        0.0199765
-0.3    0.3     12      14      0.64782 0.0188404        0.0192214                           0.680625        0.0215088        0.0227888
0.3     0.8     12      14      0.666016        0.0177227        0.0180919                   0.687628        0.018993         0.0190259
0.8     1.2     12      14      0.721803        0.0145102        0.0146644                   0.724542        0.0152176        0.0152528
1.2     1.6     12      14      0.765307        0.0128722        0.0130979                   0.785658        0.0138477        0.0140713
1.6     2.1     12      14      0.778878        0.0113952        0.0116207                   0.804786        0.0122665        0.012387
2.1     2.4     12      14      0.781579        0.0151829        0.0153714                   0.774779        0.0169707        0.0162518
-2.4    -2.1    14      16      0.813891        0.0122395        0.012568                    0.827679        0.0119661        0.0122988
-2.1    -1.6    14      16      0.80577 0.00970461       0.0105753                           0.837306        0.00952033       0.00983923
-1.6    -1.2    14      16      0.799108        0.0108588        0.0109989                   0.814673        0.0111412        0.0112684
-1.2    -0.8    14      16      0.771637        0.0115031        0.0117735                   0.780551        0.0123142        0.0124964
-0.8    -0.3    14      16      0.732258        0.0131364        0.013335                    0.731302        0.0142954        0.0144262
-0.3    0.3     14      16      0.684248        0.0146138        0.0149535                   0.688302        0.017511         0.0188172
0.3     0.8     14      16      0.722702        0.0128043        0.0129822                   0.732375        0.0132476        0.0133656
0.8     1.2     14      16      0.760763        0.0117929        0.0119654                   0.787195        0.0131909        0.0133664
1.2     1.6     14      16      0.796441        0.0108721        0.0111022                   0.81842 0.0118584        0.0120943
