drop * 
keep XSWeight
keep puWeight
keep TriggerEffWeight_1l
keep EMTFbug_veto
keep LHE_HT
keep METFilter*
keep PrefireWeight
keep CleanFatJet_*
keep mjj_vbs
keep nLepton
keep Lepton_*
keep nCleanJet
keep CleanJet_*
keep nCleanJetNotFat
keep CleanJetNotFat_*
keep Jet_btagDeepB
keep mjj_vjet
keep vbs_pt_high
keep vbs_pt_low
keep vbs_etaprod
keep vjet_pt_high
keep vjet_pt_low 
keep vbs_eta_high
keep vbs_eta_low
keep vjet_eta_high
keep vjet_eta_low
keep deltaeta_vbs  
keep deltaphi_vbs 
keep deltaeta_vjet
keep deltaphi_vjet
keep deltaphi_lep_vbs_high
keep deltaphi_lep_vbs_low 
keep deltaeta_lep_vbs_high
keep deltaeta_lep_vbs_low 
keep deltaphi_lep_vjet_high
keep deltaphi_lep_vjet_low
keep deltaeta_lep_vjet_high
keep deltaeta_lep_vjet_low
keep deltaR_lep_vbs
keep deltaR_lep_vjet
keep deltaphi_lep_nu
keep deltaeta_lep_nu
keep deltaR_lep_nu
keep deltaR_vbs
keep deltaR_vjet
keep Rvjets_high
keep Rvjets_low
keep Zvjets_high
keep Zvjets_low
keep Zlep
keep Asym_vbs
keep Asym_vjet
keep Mw_lep
keep Mtw_lep
keep w_lep_pt 
keep Mww
keep MET_pt
keep PuppiMET_pt
keep R_ww
keep R_mw
keep A_ww
keep Centr_vbs
keep Centr_ww
keep Lep_proj
keep Lep_projw
keep Ht
keep recoMET
keep recoMET_pz 
keep recoMET_nearlep
keep recoMET_pz_nearlep
keep N_jets
keep N_jets_forward
keep N_jets_central 
