mH_GeV  hbb            htt            hmm            hcc            hss            htoptop            hgluglu            hgg            hzg            hww            hzz            Total_Width_GeV
120.0  6.61e-01        7.05e-02        2.49e-04        3.24e-02        0.00e+00        0.00e+00        8.02e-02        2.26e-03        1.10e-03        1.37e-01        1.57e-02        3.52e-03
125.0  5.91e-01        6.35e-02        2.25e-04        2.89e-02        0.00e+00        0.00e+00        7.82e-02        2.31e-03        1.54e-03        2.08e-01        2.62e-02        4.07e-03
125.09  5.89e-01        6.34e-02        2.24e-04        2.89e-02        0.00e+00        0.00e+00        7.81e-02        2.32e-03        1.55e-03        2.10e-01        2.64e-02        4.08e-03
130.0  5.08e-01        5.50e-02        1.95e-04        2.49e-02        0.00e+00        0.00e+00        7.31e-02        2.28e-03        1.95e-03        2.95e-01        3.95e-02        4.89e-03
135.0  4.18e-01        4.56e-02        1.61e-04        2.05e-02        0.00e+00        0.00e+00        6.52e-02        2.17e-03        2.29e-03        3.92e-01        5.45e-02        6.12e-03
140.0  3.27e-01        3.60e-02        1.27e-04        1.60e-02        0.00e+00        0.00e+00        5.52e-02        1.97e-03        2.49e-03        4.92e-01        6.87e-02        8.05e-03
145.0  2.42e-01        2.68e-02        9.48e-05        1.18e-02        0.00e+00        0.00e+00        4.40e-02        1.71e-03        2.53e-03        5.91e-01        7.95e-02        1.12e-02
150.0  1.66e-01        1.84e-02        6.53e-05        8.10e-03        0.00e+00        0.00e+00        3.24e-02        1.39e-03        2.37e-03        6.88e-01        8.33e-02        1.68e-02
160.0  3.73e-02        4.21e-03        1.49e-05        1.83e-03        0.00e+00        0.00e+00        8.43e-03        5.51e-04        1.22e-03        9.03e-01        4.32e-02        7.87e-02
170.0  8.58e-03        9.78e-04        3.46e-06        4.20e-04        0.00e+00        0.00e+00        2.22e-03        1.61e-04        4.22e-04        9.63e-01        2.44e-02        3.60e-01
180.0  5.37e-03        6.19e-04        2.19e-06        2.63e-04        0.00e+00        0.00e+00        1.58e-03        1.07e-04        3.10e-04        9.30e-01        6.13e-02        6.02e-01
190.0  3.41e-03        3.97e-04        1.41e-06        1.67e-04        0.00e+00        0.00e+00        1.14e-03        7.08e-05        2.22e-04        7.83e-01        2.11e-01        9.90e-01
200.0  2.57e-03        3.02e-04        1.07e-06        1.26e-04        0.00e+00        0.00e+00        9.67e-04        5.50e-05        1.83e-04        7.39e-01        2.57e-01        1.37e+00
210.0  2.06e-03        2.45e-04        8.67e-07        1.01e-04        0.00e+00        0.00e+00        8.73e-04        4.52e-05        1.58e-04        7.21e-01        2.75e-01        1.77e+00
220.0  1.71e-03        2.05e-04        7.25e-07        8.36e-05        0.00e+00        0.00e+00        8.12e-04        3.80e-05        1.39e-04        7.13e-01        2.84e-01        2.22e+00
