-2.5	-2.1	0.0	12.0	0.000	0.000
-2.5	-2.1	12.0	13.0	0.400	0.121
-2.5	-2.1	13.0	15.0	0.571	0.053
-2.5	-2.1	15.0	18.0	0.923	0.036
-2.5	-2.1	18.0	22.0	0.904	0.018
-2.5	-2.1	22.0	30.0	0.953	0.005
-2.5	-2.1	30.0	35.0	0.972	0.004
-2.5	-2.1	35.0	40.0	0.974	0.002
-2.5	-2.1	40.0	50.0	0.970	0.001
-2.5	-2.1	50.0	100.0	0.977	0.005
-2.1	-1.6	0.0	12.0	0.040	0.008
-2.1	-1.6	12.0	13.0	0.545	0.065
-2.1	-1.6	13.0	15.0	0.838	0.024
-2.1	-1.6	15.0	18.0	0.943	0.014
-2.1	-1.6	18.0	22.0	0.985	0.005
-2.1	-1.6	22.0	30.0	0.992	0.001
-2.1	-1.6	30.0	35.0	0.982	0.001
-2.1	-1.6	35.0	40.0	0.986	0.001
-2.1	-1.6	40.0	50.0	0.989	0.000
-2.1	-1.6	50.0	100.0	0.991	0.001
-1.6	-1.4	0.0	12.0	0.000	0.000
-1.6	-1.4	12.0	13.0	1.000	0.179
-1.6	-1.4	13.0	15.0	1.000	0.217
-1.6	-1.4	15.0	18.0	1.000	0.095
-1.6	-1.4	18.0	22.0	0.962	0.037
-1.6	-1.4	22.0	30.0	0.977	0.007
-1.6	-1.4	30.0	35.0	0.994	0.006
-1.6	-1.4	35.0	40.0	0.985	0.004
-1.6	-1.4	40.0	50.0	0.984	0.002
-1.6	-1.4	50.0	100.0	0.995	0.005
-1.4	-0.8	0.0	12.0	0.062	0.008
-1.4	-0.8	12.0	13.0	0.526	0.038
-1.4	-0.8	13.0	15.0	0.909	0.017
-1.4	-0.8	15.0	18.0	0.974	0.009
-1.4	-0.8	18.0	22.0	0.954	0.003
-1.4	-0.8	22.0	30.0	0.968	0.001
-1.4	-0.8	30.0	35.0	0.973	0.000
-1.4	-0.8	35.0	40.0	0.981	0.000
-1.4	-0.8	40.0	50.0	0.981	0.000
-1.4	-0.8	50.0	100.0	0.980	0.000
-0.8	0.0	0.0	12.0	0.061	0.004
-0.8	0.0	12.0	13.0	0.810	0.021
-0.8	0.0	13.0	15.0	0.899	0.009
-0.8	0.0	15.0	18.0	0.938	0.003
-0.8	0.0	18.0	22.0	0.942	0.001
-0.8	0.0	22.0	30.0	0.955	0.000
-0.8	0.0	30.0	35.0	0.964	0.000
-0.8	0.0	35.0	40.0	0.975	0.000
-0.8	0.0	40.0	50.0	0.978	0.000
-0.8	0.0	50.0	100.0	0.983	0.000
0.0	0.8	0.0	12.0	0.065	0.003
0.0	0.8	12.0	13.0	0.659	0.020
0.0	0.8	13.0	15.0	0.898	0.008
0.0	0.8	15.0	18.0	0.909	0.003
0.0	0.8	18.0	22.0	0.944	0.001
0.0	0.8	22.0	30.0	0.941	0.000
0.0	0.8	30.0	35.0	0.959	0.000
0.0	0.8	35.0	40.0	0.964	0.000
0.0	0.8	40.0	50.0	0.968	0.000
0.0	0.8	50.0	100.0	0.968	0.000
0.8	1.4	0.0	12.0	0.030	0.005
0.8	1.4	12.0	13.0	0.526	0.038
0.8	1.4	13.0	15.0	0.957	0.021
0.8	1.4	15.0	18.0	0.953	0.009
0.8	1.4	18.0	22.0	0.928	0.003
0.8	1.4	22.0	30.0	0.968	0.001
0.8	1.4	30.0	35.0	0.979	0.000
0.8	1.4	35.0	40.0	0.977	0.000
0.8	1.4	40.0	50.0	0.983	0.000
0.8	1.4	50.0	100.0	0.985	0.000
1.4	1.6	0.0	12.0	0.000	0.000
1.4	1.6	12.0	13.0	0.000	0.000
1.4	1.6	13.0	15.0	0.600	0.145
1.4	1.6	15.0	18.0	0.929	0.067
1.4	1.6	18.0	22.0	1.000	0.035
1.4	1.6	22.0	30.0	0.983	0.008
1.4	1.6	30.0	35.0	0.994	0.006
1.4	1.6	35.0	40.0	0.996	0.004
1.4	1.6	40.0	50.0	0.989	0.002
1.4	1.6	50.0	100.0	0.971	0.006
1.6	2.1	0.0	12.0	0.000	0.000
1.6	2.1	12.0	13.0	0.333	0.032
1.6	2.1	13.0	15.0	0.765	0.025
1.6	2.1	15.0	18.0	0.965	0.011
1.6	2.1	18.0	22.0	0.966	0.005
1.6	2.1	22.0	30.0	0.988	0.001
1.6	2.1	30.0	35.0	0.991	0.001
1.6	2.1	35.0	40.0	0.987	0.001
1.6	2.1	40.0	50.0	0.990	0.000
1.6	2.1	50.0	100.0	0.990	0.001
2.1	2.5	0.0	12.0	0.000	0.000
2.1	2.5	12.0	13.0	0.000	0.000
2.1	2.5	13.0	15.0	0.750	0.070
2.1	2.5	15.0	18.0	0.957	0.042
2.1	2.5	18.0	22.0	0.907	0.017
2.1	2.5	22.0	30.0	0.907	0.004
2.1	2.5	30.0	35.0	0.970	0.003
2.1	2.5	35.0	40.0	0.970	0.002
2.1	2.5	40.0	50.0	0.963	0.001
2.1	2.5	50.0	100.0	0.974	0.004
