-2.5	-2.1	0.0	27.0	0.002	0.000
-2.5	-2.1	27.0	28.0	0.035	0.000
-2.5	-2.1	28.0	29.0	0.073	0.000
-2.5	-2.1	29.0	30.0	0.116	0.001
-2.5	-2.1	30.0	32.0	0.131	0.000
-2.5	-2.1	32.0	35.0	0.127	0.000
-2.5	-2.1	35.0	40.0	0.156	0.000
-2.5	-2.1	40.0	45.0	0.188	0.000
-2.5	-2.1	45.0	50.0	0.373	0.000
-2.5	-2.1	50.0	100.0	0.879	0.000
-2.1	-1.6	0.0	27.0	0.021	0.000
-2.1	-1.6	27.0	28.0	0.358	0.001
-2.1	-1.6	28.0	29.0	0.677	0.001
-2.1	-1.6	29.0	30.0	0.799	0.001
-2.1	-1.6	30.0	32.0	0.832	0.000
-2.1	-1.6	32.0	35.0	0.861	0.000
-2.1	-1.6	35.0	40.0	0.892	0.000
-2.1	-1.6	40.0	45.0	0.922	0.000
-2.1	-1.6	45.0	50.0	0.944	0.000
-2.1	-1.6	50.0	100.0	0.947	0.000
-1.6	-1.4	0.0	27.0	0.101	0.001
-1.6	-1.4	27.0	28.0	0.417	0.005
-1.6	-1.4	28.0	29.0	0.703	0.006
-1.6	-1.4	29.0	30.0	0.730	0.006
-1.6	-1.4	30.0	32.0	0.856	0.003
-1.6	-1.4	32.0	35.0	0.857	0.001
-1.6	-1.4	35.0	40.0	0.884	0.001
-1.6	-1.4	40.0	45.0	0.913	0.000
-1.6	-1.4	45.0	50.0	0.945	0.001
-1.6	-1.4	50.0	100.0	0.940	0.001
-1.4	-0.8	0.0	27.0	0.016	0.000
-1.4	-0.8	27.0	28.0	0.374	0.000
-1.4	-0.8	28.0	29.0	0.730	0.001
-1.4	-0.8	29.0	30.0	0.803	0.000
-1.4	-0.8	30.0	32.0	0.841	0.000
-1.4	-0.8	32.0	35.0	0.864	0.000
-1.4	-0.8	35.0	40.0	0.896	0.000
-1.4	-0.8	40.0	45.0	0.936	0.000
-1.4	-0.8	45.0	50.0	0.959	0.000
-1.4	-0.8	50.0	100.0	0.970	0.000
-0.8	0.0	0.0	27.0	0.012	0.000
-0.8	0.0	27.0	28.0	0.456	0.000
-0.8	0.0	28.0	29.0	0.694	0.000
-0.8	0.0	29.0	30.0	0.723	0.000
-0.8	0.0	30.0	32.0	0.756	0.000
-0.8	0.0	32.0	35.0	0.786	0.000
-0.8	0.0	35.0	40.0	0.843	0.000
-0.8	0.0	40.0	45.0	0.930	0.000
-0.8	0.0	45.0	50.0	0.956	0.000
-0.8	0.0	50.0	100.0	0.967	0.000
0.0	0.8	0.0	27.0	0.013	0.000
0.0	0.8	27.0	28.0	0.476	0.000
0.0	0.8	28.0	29.0	0.707	0.000
0.0	0.8	29.0	30.0	0.736	0.000
0.0	0.8	30.0	32.0	0.764	0.000
0.0	0.8	32.0	35.0	0.797	0.000
0.0	0.8	35.0	40.0	0.846	0.000
0.0	0.8	40.0	45.0	0.925	0.000
0.0	0.8	45.0	50.0	0.947	0.000
0.0	0.8	50.0	100.0	0.957	0.000
0.8	1.4	0.0	27.0	0.010	0.000
0.8	1.4	27.0	28.0	0.365	0.000
0.8	1.4	28.0	29.0	0.718	0.000
0.8	1.4	29.0	30.0	0.798	0.000
0.8	1.4	30.0	32.0	0.844	0.000
0.8	1.4	32.0	35.0	0.862	0.000
0.8	1.4	35.0	40.0	0.888	0.000
0.8	1.4	40.0	45.0	0.935	0.000
0.8	1.4	45.0	50.0	0.958	0.000
0.8	1.4	50.0	100.0	0.968	0.000
1.4	1.6	0.0	27.0	0.061	0.000
1.4	1.6	27.0	28.0	0.308	0.005
1.4	1.6	28.0	29.0	0.657	0.006
1.4	1.6	29.0	30.0	0.742	0.005
1.4	1.6	30.0	32.0	0.790	0.002
1.4	1.6	32.0	35.0	0.851	0.001
1.4	1.6	35.0	40.0	0.853	0.001
1.4	1.6	40.0	45.0	0.912	0.000
1.4	1.6	45.0	50.0	0.938	0.001
1.4	1.6	50.0	100.0	0.946	0.001
1.6	2.1	0.0	27.0	0.011	0.000
1.6	2.1	27.0	28.0	0.254	0.001
1.6	2.1	28.0	29.0	0.583	0.001
1.6	2.1	29.0	30.0	0.791	0.001
1.6	2.1	30.0	32.0	0.836	0.000
1.6	2.1	32.0	35.0	0.866	0.000
1.6	2.1	35.0	40.0	0.890	0.000
1.6	2.1	40.0	45.0	0.922	0.000
1.6	2.1	45.0	50.0	0.940	0.000
1.6	2.1	50.0	100.0	0.948	0.000
2.1	2.5	0.0	27.0	0.000	0.000
2.1	2.5	27.0	28.0	0.016	0.000
2.1	2.5	28.0	29.0	0.044	0.000
2.1	2.5	29.0	30.0	0.062	0.000
2.1	2.5	30.0	32.0	0.077	0.000
2.1	2.5	32.0	35.0	0.083	0.000
2.1	2.5	35.0	40.0	0.115	0.000
2.1	2.5	40.0	45.0	0.167	0.000
2.1	2.5	45.0	50.0	0.376	0.000
2.1	2.5	50.0	100.0	0.885	0.000
