-2.500	-2.170	0.000	25.000	0.000	0.000	0.000
-2.500	-2.170	25.000	26.000	0.005	0.004	0.006
-2.500	-2.170	26.000	27.000	0.031	0.006	0.010
-2.500	-2.170	27.000	29.000	0.208	0.009	0.015
-2.500	-2.170	29.000	31.000	0.433	0.008	0.014
-2.500	-2.170	31.000	34.000	0.563	0.007	0.009
-2.500	-2.170	34.000	37.000	0.624	0.005	0.006
-2.500	-2.170	37.000	40.000	0.662	0.005	0.004
-2.500	-2.170	40.000	50.000	0.715	0.004	0.004
-2.500	-2.170	50.000	100.000	0.778	0.007	0.012
-2.170	-1.570	0.000	25.000	0.025	0.001	0.003
-2.170	-1.570	25.000	26.000	0.281	0.023	0.012
-2.170	-1.570	26.000	27.000	0.423	0.012	0.015
-2.170	-1.570	27.000	29.000	0.512	0.011	0.010
-2.170	-1.570	29.000	31.000	0.603	0.006	0.006
-2.170	-1.570	31.000	34.000	0.669	0.003	0.006
-2.170	-1.570	34.000	37.000	0.731	0.002	0.004
-2.170	-1.570	37.000	40.000	0.771	0.002	0.004
-2.170	-1.570	40.000	50.000	0.820	0.002	0.001
-2.170	-1.570	50.000	100.000	0.862	0.003	0.006
-1.570	-1.440	0.000	25.000	0.042	0.006	0.007
-1.570	-1.440	25.000	26.000	0.271	0.028	0.034
-1.570	-1.440	26.000	27.000	0.378	0.066	0.056
-1.570	-1.440	27.000	29.000	0.540	0.028	0.026
-1.570	-1.440	29.000	31.000	0.630	0.022	0.031
-1.570	-1.440	31.000	34.000	0.694	0.020	0.015
-1.570	-1.440	34.000	37.000	0.759	0.009	0.015
-1.570	-1.440	37.000	40.000	0.789	0.005	0.009
-1.570	-1.440	40.000	50.000	0.836	0.004	0.003
-1.570	-1.440	50.000	100.000	0.866	0.009	0.006
-1.440	-0.800	0.000	25.000	0.021	0.001	0.002
-1.440	-0.800	25.000	26.000	0.362	0.008	0.019
-1.440	-0.800	26.000	27.000	0.550	0.009	0.009
-1.440	-0.800	27.000	29.000	0.656	0.007	0.005
-1.440	-0.800	29.000	31.000	0.734	0.007	0.004
-1.440	-0.800	31.000	34.000	0.804	0.002	0.005
-1.440	-0.800	34.000	37.000	0.844	0.002	0.002
