-2.500	-2.170	0.000	23.000	0.401	0.009	0.010	0.003	0.018
-2.500	-2.170	23.000	24.000	0.941	0.012	0.010	0.011	0.003
-2.500	-2.170	24.000	25.000	0.941	0.011	0.010	0.013	0.006
-2.500	-2.170	25.000	26.000	0.947	0.010	0.008	0.009	0.005
-2.500	-2.170	26.000	30.000	0.968	0.003	0.003	0.002	0.005
-2.500	-2.170	30.000	35.000	0.971	0.002	0.002	0.003	0.001
-2.500	-2.170	35.000	40.000	0.972	0.001	0.001	0.003	0.001
-2.500	-2.170	40.000	45.000	0.978	0.001	0.001	0.001	0.004
-2.500	-2.170	45.000	50.000	0.982	0.002	0.001	0.003	0.001
-2.500	-2.170	50.000	100.000	0.990	0.002	0.002	0.001	0.001
-2.170	-1.570	0.000	23.000	0.151	0.004	0.004	0.001	0.004
-2.170	-1.570	23.000	24.000	0.705	0.012	0.012	0.019	0.016
-2.170	-1.570	24.000	25.000	0.879	0.009	0.008	0.004	0.009
-2.170	-1.570	25.000	26.000	0.947	0.006	0.005	0.007	0.011
-2.170	-1.570	26.000	30.000	0.969	0.002	0.002	0.003	0.001
-2.170	-1.570	30.000	35.000	0.977	0.001	0.001	0.001	0.002
-2.170	-1.570	35.000	40.000	0.982	0.001	0.001	0.001	0.001
-2.170	-1.570	40.000	45.000	0.987	0.000	0.000	0.000	0.000
-2.170	-1.570	45.000	50.000	0.990	0.001	0.001	0.001	0.000
-2.170	-1.570	50.000	100.000	0.992	0.001	0.001	0.001	0.001
-1.570	-1.440	0.000	23.000	0.131	0.010	0.011	0.012	0.013
-1.570	-1.440	23.000	24.000	0.462	0.038	0.038	0.041	0.009
-1.570	-1.440	24.000	25.000	0.650	0.032	0.031	0.045	0.077
-1.570	-1.440	25.000	26.000	0.853	0.024	0.022	0.035	0.034
-1.570	-1.440	26.000	30.000	0.940	0.007	0.006	0.005	0.009
-1.570	-1.440	30.000	35.000	0.964	0.003	0.003	0.005	0.004
-1.570	-1.440	35.000	40.000	0.976	0.002	0.002	0.005	0.002
-1.570	-1.440	40.000	45.000	0.979	0.002	0.002	0.002	0.002
-1.570	-1.440	45.000	50.000	0.980	0.002	0.002	0.004	0.003
-1.570	-1.440	50.000	100.000	0.980	0.003	0.003	0.007	0.003
-1.440	-0.800	0.000	23.000	0.019	0.001	0.001	0.004	0.003
-1.440	-0.800	23.000	24.000	0.309	0.009	0.010	0.003	0.014
-1.440	-0.800	24.000	25.000	0.665	0.009	0.009	0.011	0.012
-1.440	-0.800	25.000	26.000	0.863	0.006	0.006	0.016	0.022
-1.440	-0.800	26.000	30.000	0.949	0.002	0.002	0.001	0.002
-1.440	-0.800	30.000	35.000	0.963	0.001	0.001	0.000	0.002
-1.440	-0.800	35.000	40.000	0.971	0.001	0.001	0.001	0.001
-1.440	-0.800	40.000	45.000	0.977	0.000	0.000	0.000	0.001
-1.440	-0.800	45.000	50.000	0.976	0.001	0.001	0.000	0.000
-1.440	-0.800	50.000	100.000	0.978	0.001	0.001	0.001	0.001
-0.800	0.000	0.000	23.000	0.024	0.001	0.001	0.001	0.002
-0.800	0.000	23.000	24.000	0.507	0.009	0.009	0.004	0.025
-0.800	0.000	24.000	25.000	0.875	0.005	0.005	0.006	0.014
-0.800	0.000	25.000	26.000	0.937	0.004	0.003	0.011	0.019
-0.800	0.000	26.000	30.000	0.955	0.001	0.001	0.002	0.000
-0.800	0.000	30.000	35.000	0.964	0.001	0.001	0.000	0.000
-0.800	0.000	35.000	40.000	0.972	0.000	0.000	0.000	0.000
-0.800	0.000	40.000	45.000	0.975	0.000	0.000	0.000	0.000
-0.800	0.000	45.000	50.000	0.977	0.000	0.000	0.000	0.001
-0.800	0.000	50.000	100.000	0.980	0.001	0.001	0.000	0.001
0.000	0.800	0.000	23.000	0.016	0.001	0.001	0.003	0.000
0.000	0.800	23.000	24.000	0.384	0.008	0.008	0.014	0.009
0.000	0.800	24.000	25.000	0.819	0.006	0.006	0.004	0.001
0.000	0.800	25.000	26.000	0.941	0.003	0.003	0.008	0.005
0.000	0.800	26.000	30.000	0.957	0.001	0.001	0.001	0.001
0.000	0.800	30.000	35.000	0.965	0.001	0.001	0.000	0.001
0.000	0.800	35.000	40.000	0.974	0.000	0.000	0.001	0.001
0.000	0.800	40.000	45.000	0.977	0.000	0.000	0.001	0.000
0.000	0.800	45.000	50.000	0.979	0.000	0.000	0.001	0.001
0.000	0.800	50.000	100.000	0.981	0.001	0.001	0.001	0.001
0.800	1.440	0.000	23.000	0.010	0.001	0.001	0.002	0.002
0.800	1.440	23.000	24.000	0.203	0.008	0.009	0.009	0.024
0.800	1.440	24.000	25.000	0.592	0.009	0.009	0.021	0.015
0.800	1.440	25.000	26.000	0.835	0.007	0.007	0.003	0.002
0.800	1.440	26.000	30.000	0.947	0.002	0.002	0.003	0.001
0.800	1.440	30.000	35.000	0.965	0.001	0.001	0.001	0.001
0.800	1.440	35.000	40.000	0.974	0.001	0.001	0.001	0.001
0.800	1.440	40.000	45.000	0.978	0.000	0.000	0.001	0.000
0.800	1.440	45.000	50.000	0.978	0.001	0.001	0.000	0.000
0.800	1.440	50.000	100.000	0.980	0.001	0.001	0.000	0.001
1.440	1.570	0.000	23.000	0.123	0.010	0.010	0.022	0.020
1.440	1.570	23.000	24.000	0.405	0.038	0.039	0.037	0.037
1.440	1.570	24.000	25.000	0.586	0.036	0.035	0.021	0.010
1.440	1.570	25.000	26.000	0.728	0.029	0.027	0.039	0.052
1.440	1.570	26.000	30.000	0.936	0.007	0.006	0.008	0.011
1.440	1.570	30.000	35.000	0.961	0.003	0.003	0.003	0.004
1.440	1.570	35.000	40.000	0.978	0.002	0.002	0.003	0.002
1.440	1.570	40.000	45.000	0.978	0.002	0.002	0.000	0.001
1.440	1.570	45.000	50.000	0.982	0.002	0.002	0.001	0.001
1.440	1.570	50.000	100.000	0.978	0.003	0.003	0.004	0.005
1.570	2.170	0.000	23.000	0.058	0.003	0.003	0.006	0.006
1.570	2.170	23.000	24.000	0.459	0.013	0.014	0.017	0.010
1.570	2.170	24.000	25.000	0.718	0.012	0.011	0.006	0.004
1.570	2.170	25.000	26.000	0.878	0.008	0.008	0.007	0.008
1.570	2.170	26.000	30.000	0.965	0.002	0.002	0.001	0.004
1.570	2.170	30.000	35.000	0.980	0.001	0.001	0.001	0.002
1.570	2.170	35.000	40.000	0.984	0.001	0.001	0.000	0.001
1.570	2.170	40.000	45.000	0.989	0.000	0.000	0.001	0.000
1.570	2.170	45.000	50.000	0.991	0.000	0.000	0.000	0.001
1.570	2.170	50.000	100.000	0.993	0.001	0.001	0.001	0.001
2.170	2.500	0.000	23.000	0.184	0.008	0.008	0.014	0.019
2.170	2.500	23.000	24.000	0.853	0.017	0.016	0.016	0.021
2.170	2.500	24.000	25.000	0.905	0.014	0.013	0.049	0.037
2.170	2.500	25.000	26.000	0.947	0.010	0.009	0.013	0.010
2.170	2.500	26.000	30.000	0.973	0.003	0.003	0.002	0.009
2.170	2.500	30.000	35.000	0.977	0.002	0.002	0.003	0.004
2.170	2.500	35.000	40.000	0.976	0.001	0.001	0.003	0.003
2.170	2.500	40.000	45.000	0.978	0.001	0.001	0.002	0.001
2.170	2.500	45.000	50.000	0.984	0.001	0.001	0.002	0.001
2.170	2.500	50.000	100.000	0.986	0.002	0.002	0.003	0.004
2.170	2.500	50.000	100.000	0.986	0.002	0.002	0.003	0.004
