-2.40	-2.10	0.0	10.0		0.218	0.012	0.012
-2.40	-2.10	10.0	15.0		0.770	0.011	0.011
-2.40	-2.10	15.0	16.0		0.780	0.021	0.019
-2.40	-2.10	16.0	17.0		0.772	0.019	0.018
-2.40	-2.10	17.0	18.0		0.754	0.019	0.018
-2.40	-2.10	18.0	19.0		0.773	0.018	0.017
-2.40	-2.10	19.0	20.0		0.782	0.016	0.015
-2.40	-2.10	20.0	25.0		0.768	0.006	0.006
-2.40	-2.10	25.0	30.0		0.779	0.004	0.004
-2.40	-2.10	30.0	40.0		0.783	0.002	0.002
-2.40	-2.10	40.0	60.0		0.787	0.002	0.002
-2.40	-2.10	60.0	100.0		0.776	0.007	0.007
-2.40	-2.10	100.0	200.0		0.764	0.026	0.024
-2.10	-1.60	0.0	10.0		0.278	0.010	0.011
-2.10	-1.60	10.0	15.0		0.768	0.008	0.008
-2.10	-1.60	15.0	16.0		0.804	0.014	0.014
-2.10	-1.60	16.0	17.0		0.773	0.014	0.013
-2.10	-1.60	17.0	18.0		0.791	0.012	0.012
-2.10	-1.60	18.0	19.0		0.789	0.012	0.012
-2.10	-1.60	19.0	20.0		0.782	0.011	0.011
-2.10	-1.60	20.0	25.0		0.786	0.004	0.004
-2.10	-1.60	25.0	30.0		0.780	0.003	0.003
-2.10	-1.60	30.0	40.0		0.784	0.001	0.001
-2.10	-1.60	40.0	60.0		0.785	0.001	0.001
-2.10	-1.60	60.0	100.0		0.778	0.004	0.004
-2.10	-1.60	100.0	200.0		0.759	0.015	0.014
-1.60	-1.20	0.0	10.0		0.345	0.014	0.015
-1.60	-1.20	10.0	15.0		0.808	0.009	0.008
-1.60	-1.20	15.0	16.0		0.834	0.016	0.015
-1.60	-1.20	16.0	17.0		0.779	0.016	0.015
-1.60	-1.20	17.0	18.0		0.791	0.014	0.014
-1.60	-1.20	18.0	19.0		0.786	0.014	0.013
-1.60	-1.20	19.0	20.0		0.789	0.013	0.012
-1.60	-1.20	20.0	25.0		0.811	0.004	0.004
-1.60	-1.20	25.0	30.0		0.806	0.003	0.003
-1.60	-1.20	30.0	40.0		0.806	0.001	0.001
-1.60	-1.20	40.0	60.0		0.799	0.001	0.001
-1.60	-1.20	60.0	100.0		0.772	0.004	0.004
-1.60	-1.20	100.0	200.0		0.690	0.015	0.014
-1.20	-0.80	0.0	10.0		0.455	0.020	0.020
-1.20	-0.80	10.0	15.0		0.794	0.010	0.009
-1.20	-0.80	15.0	16.0		0.780	0.017	0.016
-1.20	-0.80	16.0	17.0		0.761	0.017	0.016
