-2.40	-2.10	0.0	10.0		0.258	0.016	0.017
-2.40	-2.10	10.0	15.0		0.950	0.008	0.007
-2.40	-2.10	15.0	16.0		0.945	0.017	0.013
-2.40	-2.10	16.0	17.0		0.963	0.014	0.011
-2.40	-2.10	17.0	18.0		0.957	0.014	0.011
-2.40	-2.10	18.0	19.0		0.965	0.012	0.009
-2.40	-2.10	19.0	20.0		0.949	0.013	0.010
-2.40	-2.10	20.0	25.0		0.966	0.003	0.003
-2.40	-2.10	25.0	30.0		0.964	0.003	0.002
-2.40	-2.10	30.0	40.0		0.966	0.001	0.001
-2.40	-2.10	40.0	60.0		0.967	0.001	0.001
-2.40	-2.10	60.0	100.0		0.964	0.004	0.004
-2.40	-2.10	100.0	200.0		0.991	0.012	0.006
-2.10	-1.60	0.0	10.0		0.350	0.014	0.014
-2.10	-1.60	10.0	15.0		0.944	0.006	0.005
-2.10	-1.60	15.0	16.0		0.937	0.012	0.011
-2.10	-1.60	16.0	17.0		0.951	0.011	0.009
-2.10	-1.60	17.0	18.0		0.963	0.009	0.007
-2.10	-1.60	18.0	19.0		0.944	0.010	0.008
-2.10	-1.60	19.0	20.0		0.947	0.009	0.008
-2.10	-1.60	20.0	25.0		0.950	0.003	0.003
-2.10	-1.60	25.0	30.0		0.950	0.002	0.002
-2.10	-1.60	30.0	40.0		0.950	0.001	0.001
-2.10	-1.60	40.0	60.0		0.950	0.001	0.001
-2.10	-1.60	60.0	100.0		0.950	0.003	0.003
-2.10	-1.60	100.0	200.0		0.928	0.013	0.011
-1.60	-1.20	0.0	10.0		0.455	0.020	0.020
-1.60	-1.20	10.0	15.0		0.987	0.004	0.003
-1.60	-1.20	15.0	16.0		0.989	0.008	0.005
-1.60	-1.20	16.0	17.0		0.989	0.007	0.005
-1.60	-1.20	17.0	18.0		0.989	0.007	0.004
-1.60	-1.20	18.0	19.0		0.993	0.005	0.003
-1.60	-1.20	19.0	20.0		0.992	0.005	0.003
-1.60	-1.20	20.0	25.0		0.994	0.001	0.001
-1.60	-1.20	25.0	30.0		0.993	0.001	0.001
-1.60	-1.20	30.0	40.0		0.993	0.000	0.000
-1.60	-1.20	40.0	60.0		0.993	0.000	0.000
-1.60	-1.20	60.0	100.0		0.991	0.001	0.001
-1.60	-1.20	100.0	200.0		0.994	0.005	0.003
-1.20	-0.80	0.0	10.0		0.546	0.026	0.026
-1.20	-0.80	10.0	15.0		0.968	0.006	0.005
-1.20	-0.80	15.0	16.0		0.965	0.012	0.009
-1.20	-0.80	16.0	17.0		0.956	0.012	0.010
-1.20	-0.80	17.0	18.0		0.976	0.009	0.007
-1.20	-0.80	18.0	19.0		0.960	0.010	0.008
-1.20	-0.80	19.0	20.0		0.979	0.007	0.005
-1.20	-0.80	20.0	25.0		0.970	0.003	0.002
-1.20	-0.80	25.0	30.0		0.967	0.002	0.002
-1.20	-0.80	30.0	40.0		0.971	0.001	0.001
