-2.50	-2.17	0.0	12.0		0.012	0.010	0.026
-2.50	-2.17	12.0	13.0		0.125	0.104	0.232
-2.50	-2.17	13.0	15.0		0.333	0.212	0.282
-2.50	-2.17	15.0	18.0		0.905	0.112	0.061
-2.50	-2.17	18.0	22.0		0.882	0.053	0.040
-2.50	-2.17	22.0	30.0		0.925	0.027	0.021
-2.50	-2.17	30.0	35.0		0.962	0.018	0.013
-2.50	-2.17	35.0	40.0		0.977	0.012	0.009
-2.50	-2.17	40.0	50.0		0.965	0.011	0.009
-2.50	-2.17	50.0	100.0		0.980	0.026	0.013
-2.17	-1.57	0.0	12.0		0.007	0.006	0.016
-2.17	-1.57	12.0	13.0		0.167	0.107	0.179
-2.17	-1.57	13.0	15.0		0.500	0.120	0.120
-2.17	-1.57	15.0	18.0		0.729	0.079	0.068
-2.17	-1.57	18.0	22.0		0.860	0.046	0.037
-2.17	-1.57	22.0	30.0		0.949	0.013	0.011
-2.17	-1.57	30.0	35.0		0.958	0.010	0.009
-2.17	-1.57	35.0	40.0		0.982	0.006	0.005
-2.17	-1.57	40.0	50.0		0.983	0.004	0.003
-2.17	-1.57	50.0	100.0		0.986	0.009	0.006
-1.57	-1.44	0.0	12.0		0.000	0.000	0.185
-1.57	-1.44	12.0	13.0		0.667	0.415	0.277
-1.57	-1.44	13.0	15.0		0.000	0.000	0.459
-1.57	-1.44	15.0	18.0		0.750	0.368	0.208
-1.57	-1.44	18.0	22.0		0.733	0.161	0.123
-1.57	-1.44	22.0	30.0		0.912	0.055	0.037
-1.57	-1.44	30.0	35.0		0.959	0.051	0.026
-1.57	-1.44	35.0	40.0		0.908	0.042	0.031
-1.57	-1.44	40.0	50.0		0.979	0.014	0.009
-1.57	-1.44	50.0	100.0		0.926	0.047	0.031
-1.44	-0.80	0.0	12.0		0.000	0.000	0.018
-1.44	-0.80	12.0	13.0		0.333	0.152	0.186
-1.44	-0.80	13.0	15.0		0.524	0.130	0.128
-1.44	-0.80	15.0	18.0		0.854	0.070	0.052
-1.44	-0.80	18.0	22.0		0.873	0.037	0.030
-1.44	-0.80	22.0	30.0		0.926	0.013	0.011
-1.44	-0.80	30.0	35.0		0.942	0.010	0.009
-1.44	-0.80	35.0	40.0		0.968	0.006	0.005
-1.44	-0.80	40.0	50.0		0.959	0.004	0.004
-1.44	-0.80	50.0	100.0		0.968	0.007	0.006
-0.80	0.00	0.0	12.0		0.000	0.000	0.045
-0.80	0.00	12.0	13.0		0.333	0.212	0.282
-0.80	0.00	13.0	15.0		0.840	0.109	0.075
-0.80	0.00	15.0	18.0		0.855	0.059	0.046
-0.80	0.00	18.0	22.0		0.859	0.034	0.029
-0.80	0.00	22.0	30.0		0.920	0.011	0.010
-0.80	0.00	30.0	35.0		0.937	0.008	0.007
-0.80	0.00	35.0	40.0		0.942	0.006	0.005
-0.80	0.00	40.0	50.0		0.963	0.003	0.003
-0.80	0.00	50.0	100.0		0.965	0.007	0.006
0.00	0.80	0.0	12.0		0.026	0.021	0.057
0.00	0.80	12.0	13.0		0.300	0.158	0.208
0.00	0.80	13.0	15.0		0.692	0.116	0.099
0.00	0.80	15.0	18.0		0.822	0.056	0.046
0.00	0.80	18.0	22.0		0.887	0.030	0.025
0.00	0.80	22.0	30.0		0.904	0.011	0.010
0.00	0.80	30.0	35.0		0.920	0.008	0.008
0.00	0.80	35.0	40.0		0.942	0.005	0.005
0.00	0.80	40.0	50.0		0.955	0.003	0.003
0.00	0.80	50.0	100.0		0.951	0.007	0.006
0.80	1.44	0.0	12.0		0.000	0.000	0.020
0.80	1.44	12.0	13.0		0.375	0.196	0.235
0.80	1.44	13.0	15.0		0.458	0.118	0.122
0.80	1.44	15.0	18.0		0.867	0.059	0.045
0.80	1.44	18.0	22.0		0.839	0.040	0.034
0.80	1.44	22.0	30.0		0.907	0.014	0.012
0.80	1.44	30.0	35.0		0.941	0.010	0.009
