#                                                 data                                                      MC                     
# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                     eff          deff_high       deff_low       
  -2.40  -2.10  10.00  13.00         0.7741  0.0133  0.0136       0.8009   0.0100   0.0101  
  -2.10  -1.60  10.00  13.00         0.7562  0.0101  0.0102       0.7787   0.0083   0.0082  
  -1.60  -1.20  10.00  13.00         0.7286  0.0118  0.0119       0.7538   0.0095   0.0097  
  -1.20  -0.80  10.00  13.00         0.6829  0.0140  0.0142       0.6983   0.0100   0.0100  
  -0.80  -0.30  10.00  13.00         0.6328  0.0164  0.0165       0.6763   0.0120   0.0119  
  -0.30  -0.20  10.00  13.00         0.6270  0.0515  0.0505       0.6350   0.0341   0.0330  
  -0.20  0.20  10.00  13.00         0.5517  0.0197  0.0193       0.6354   0.0186   0.0190  
  0.20  0.30  10.00  13.00         0.6643  0.0500  0.0489       0.6720   0.0334   0.0344  
  0.30  0.80  10.00  13.00         0.6325  0.0157  0.0158       0.6681   0.0120   0.0120  
  0.80  1.20  10.00  13.00         0.6733  0.0141  0.0141       0.7061   0.0110   0.0109  
  1.20  1.60  10.00  13.00         0.7080  0.0121  0.0122       0.7329   0.0087   0.0087  
  1.60  2.10  10.00  13.00         0.7626  0.0106  0.0103       0.7936   0.0080   0.0080  
  2.10  2.40  10.00  13.00         0.7487  0.0137  0.0139       0.7975   0.0100   0.0100  
  -2.40  -2.10  13.00  16.00         0.8075  0.0108  0.0112       0.8475   0.0081   0.0080  
  -2.10  -1.60  13.00  16.00         0.7977  0.0077  0.0078       0.8332   0.0063   0.0065  
  -1.60  -1.20  13.00  16.00         0.7911  0.0087  0.0088       0.8055   0.0072   0.0073  
  -1.20  -0.80  13.00  16.00         0.7247  0.0098  0.0101       0.7602   0.0076   0.0077  
  -0.80  -0.30  13.00  16.00         0.6757  0.0106  0.0106       0.7316   0.0079   0.0078  
  -0.30  -0.20  13.00  16.00         0.6452  0.0274  0.0273       0.6935   0.0211   0.0187  
  -0.20  0.20  13.00  16.00         0.6490  0.0138  0.0139       0.6624   0.0109   0.0110  
  0.20  0.30  13.00  16.00         0.6416  0.0316  0.0301       0.6736   0.0217   0.0218  
  0.30  0.80  13.00  16.00         0.6924  0.0103  0.0103       0.7261   0.0076   0.0075  
  0.80  1.20  13.00  16.00         0.7256  0.0096  0.0098       0.7391   0.0075   0.0076  
  1.20  1.60  13.00  16.00         0.7841  0.0086  0.0087       0.7913   0.0070   0.0071  
  1.60  2.10  13.00  16.00         0.8092  0.0077  0.0078       0.8317   0.0061   0.0060  
  2.10  2.40  13.00  16.00         0.7956  0.0117  0.0132       0.8472   0.0083   0.0085  
  -2.40  -2.10  16.00  20.00         0.8522  0.0069  0.0073       0.8854   0.0054   0.0057  
  -2.10  -1.60  16.00  20.00         0.8483  0.0047  0.0048       0.8770   0.0045   0.0054  
  -1.60  -1.20  16.00  20.00         0.8288  0.0055  0.0056       0.8523   0.0043   0.0043  
