#                                                 data                                                      MC                     
# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                     eff          deff_high       deff_low       
  2.10  2.40  25.00  30.00         0.9272  0.0031  0.0032       0.9635   0.0016   0.0016  
  -2.40  -2.10  30.00  40.00         0.9155  0.0017  0.0017       0.9611   0.0009   0.0009  
  -2.10  -1.60  30.00  40.00         0.9659  0.0008  0.0008       0.9876   0.0004   0.0004  
  -1.60  -1.20  30.00  40.00         0.9814  0.0006  0.0006       0.9927   0.0003   0.0003  
  -1.20  -0.80  30.00  40.00         0.9375  0.0009  0.0009       0.9738   0.0005   0.0005  
  -0.80  -0.30  30.00  40.00         0.9599  0.0006  0.0006       0.9886   0.0016   0.0016  
  -0.30  -0.20  30.00  40.00         0.8545  0.0023  0.0023       0.9000   0.0016   0.0016  
  -0.20  0.20  30.00  40.00         0.9466  0.0007  0.0007       0.9791   0.0004   0.0004  
  0.20  0.30  30.00  40.00         0.8444  0.0024  0.0024       0.8964   0.0015   0.0015  
  0.30  0.80  30.00  40.00         0.9661  0.0005  0.0006       0.9878   0.0003   0.0003  
  0.80  1.20  30.00  40.00         0.9417  0.0009  0.0009       0.9731   0.0005   0.0005  
  1.20  1.60  30.00  40.00         0.9796  0.0006  0.0006       0.9921   0.0003   0.0003  
  1.60  2.10  30.00  40.00         0.9712  0.0007  0.0007       0.9879   0.0004   0.0004  
  2.10  2.40  30.00  40.00         0.9215  0.0017  0.0017       0.9646   0.0009   0.0009  
  -2.40  -2.10  40.00  60.00         0.9191  0.0014  0.0014       0.9647   0.0007   0.0007  
  -2.10  -1.60  40.00  60.00         0.9654  0.0006  0.0006       0.9867   0.0003   0.0003  
  -1.60  -1.20  40.00  60.00         0.9815  0.0004  0.0004       0.9937   0.0002   0.0002  
  -1.20  -0.80  40.00  60.00         0.9393  0.0007  0.0007       0.9756   0.0004   0.0004  
  -0.80  -0.30  40.00  60.00         0.9619  0.0005  0.0005       0.9898   0.0002   0.0002  
  -0.30  -0.20  40.00  60.00         0.8497  0.0019  0.0019       0.8998   0.0013   0.0013  
  -0.20  0.20  40.00  60.00         0.9468  0.0006  0.0006       0.9797   0.0003   0.0003  
  0.20  0.30  40.00  60.00         0.8472  0.0019  0.0019       0.8933   0.0014   0.0014  
  0.30  0.80  40.00  60.00         0.9667  0.0004  0.0004       0.9886   0.0002   0.0002  
  0.80  1.20  40.00  60.00         0.9441  0.0006  0.0006       0.9755   0.0004   0.0004  
  1.20  1.60  40.00  60.00         0.9798  0.0005  0.0005       0.9928   0.0002   0.0002  
  1.60  2.10  40.00  60.00         0.9697  0.0006  0.0006       0.9867   0.0003   0.0003  
  2.10  2.40  40.00  60.00         0.9214  0.0014  0.0014       0.9662   0.0007   0.0007  
  -2.40  -2.10  60.00  100.00         0.9297  0.0053  0.0053       0.9665   0.0026   0.0026  
  -2.10  -1.60  60.00  100.00         0.9652  0.0020  0.0021       0.9857   0.0010   0.0011  
  -1.60  -1.20  60.00  100.00         0.9863  0.0013  0.0014       0.9942   0.0007   0.0007  
  -1.20  -0.80  60.00  100.00         0.9408  0.0022  0.0022       0.9763   0.0012   0.0013  
  -0.80  -0.30  60.00  100.00         0.9637  0.0016  0.0016       0.9879   0.0007   0.0007  
  -0.30  -0.20  60.00  100.00         0.8345  0.0064  0.0065       0.8988   0.0047   0.0048  
  -0.20  0.20  60.00  100.00         0.9492  0.0020  0.0021       0.9821   0.0010   0.0011  
  0.20  0.30  60.00  100.00         0.8517  0.0061  0.0062       0.8941   0.0050   0.0048  
  0.30  0.80  60.00  100.00         0.9702  0.0014  0.0015       0.9881   0.0007   0.0008  
  0.80  1.20  60.00  100.00         0.9387  0.0022  0.0022       0.9746   0.0012   0.0013  
  1.20  1.60  60.00  100.00         0.9844  0.0015  0.0015       0.9934   0.0007   0.0008  
  1.60  2.10  60.00  100.00         0.9708  0.0020  0.0021       0.9845   0.0011   0.0011  
  2.10  2.40  60.00  100.00         0.9410  0.0051  0.0051       0.9694   0.0024   0.0024  
  -2.40  -2.10  100.00  200.00         0.9689  0.0229  0.0237       0.9499   0.0078   0.0087  
  -2.10  -1.60  100.00  200.00         0.9704  0.0058  0.0062       0.9810   0.0037   0.0040  
  -1.60  -1.20  100.00  200.00         0.9786  0.0044  0.0048       0.9966   0.0016   0.0020  
  -1.20  -0.80  100.00  200.00         0.9301  0.0073  0.0075       0.9643   0.0043   0.0052  
  -0.80  -0.30  100.00  200.00         0.9642  0.0047  0.0049       0.9861   0.0021   0.0024  
  -0.30  -0.20  100.00  200.00         0.8625  0.0174  0.0183       0.8656   0.0133   0.0141  
  -0.20  0.20  100.00  200.00         0.9456  0.0062  0.0065       0.9808   0.0033   0.0036  
  0.20  0.30  100.00  200.00         0.8488  0.0172  0.0179       0.9017   0.0216   0.0141  
  0.30  0.80  100.00  200.00         0.9712  0.0044  0.0046       0.9884   0.0023   0.0025  
  0.80  1.20  100.00  200.00         0.9422  0.0067  0.0070       0.9652   0.0038   0.0041  
  1.20  1.60  100.00  200.00         0.9846  0.0045  0.0048       0.9934   0.0021   0.0025  
  1.60  2.10  100.00  200.00         0.9774  0.0077  0.0081       0.9870   0.0034   0.0038  
  2.10  2.40  100.00  200.00         0.9275  0.0179  0.0185       0.9419   0.0086   0.0095  
