CSV; OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,hww,central,2,0.0,1.0,30,50,-1,1,-5.8397577758889456
2,hww,up,2,0.0,1.0,30,50,-1,1,-0.27606055597195045
2,hww,down,2,0.0,1.0,30,50,-1,1,-11.403454995805941
1,hww,central,0,1.0,2.5,30,50,-1,1,0.92450058686377767
1,hww,up,0,1.0,2.5,30,50,-1,1,0.9701172069662739
1,hww,down,0,1.0,2.5,30,50,-1,1,0.87888396676128144
1,hww,central,1,1.0,2.5,30,50,-1,1,0.92450058686377767
1,hww,up,1,1.0,2.5,30,50,-1,1,0.9701172069662739
1,hww,down,1,1.0,2.5,30,50,-1,1,0.87888396676128144
1,hww,central,2,1.0,2.5,30,50,-1,1,0.6220414573900791
1,hww,up,2,1.0,2.5,30,50,-1,1,1.0780577044759139
1,hww,down,2,1.0,2.5,30,50,-1,1,0.16602521030424444
0,hww,central,0,1.0,2.5,30,50,-1,1,0.94546754531663113
0,hww,up,0,1.0,2.5,30,50,-1,1,0.98177550679159287
0,hww,down,0,1.0,2.5,30,50,-1,1,0.90915958384166939
0,hww,central,1,1.0,2.5,30,50,-1,1,0.94546754531663113
0,hww,up,1,1.0,2.5,30,50,-1,1,0.98177550679159287
0,hww,down,1,1.0,2.5,30,50,-1,1,0.90915958384166939
0,hww,central,2,1.0,2.5,30,50,-1,1,0.97181678824270668
0,hww,up,2,1.0,2.5,30,50,-1,1,1.0185233512847098
0,hww,down,2,1.0,2.5,30,50,-1,1,0.92511022520070352
2,hww,central,0,1.0,2.5,30,50,-1,1,0.91875693894217081
2,hww,up,0,1.0,2.5,30,50,-1,1,0.98702950628831632
2,hww,down,0,1.0,2.5,30,50,-1,1,0.8504843715960253
2,hww,central,1,1.0,2.5,30,50,-1,1,0.91875693894217081
2,hww,up,1,1.0,2.5,30,50,-1,1,0.98702950628831632
2,hww,down,1,1.0,2.5,30,50,-1,1,0.8504843715960253
2,hww,central,2,1.0,2.5,30,50,-1,1,-1.0188515561193614
2,hww,up,2,1.0,2.5,30,50,-1,1,1.7005311374300791
2,hww,down,2,1.0,2.5,30,50,-1,1,-3.7382342496688019
1,hww,central,0,0.0,1.0,50,100,-1,1,0.9658940103134106
1,hww,up,0,0.0,1.0,50,100,-1,1,0.99819932513197129
1,hww,down,0,0.0,1.0,50,100,-1,1,0.93358869549484991
1,hww,central,1,0.0,1.0,50,100,-1,1,0.9658940103134106
1,hww,up,1,0.0,1.0,50,100,-1,1,0.99819932513197129
1,hww,down,1,0.0,1.0,50,100,-1,1,0.93358869549484991
1,hww,central,2,0.0,1.0,50,100,-1,1,-0.072640563269714076
1,hww,up,2,0.0,1.0,50,100,-1,1,1.5692129587305883
1,hww,down,2,0.0,1.0,50,100,-1,1,-1.7144940852700163
0,hww,central,0,0.0,1.0,50,100,-1,1,0.98791047845158564
0,hww,up,0,0.0,1.0,50,100,-1,1,1.0111158383760677
0,hww,down,0,0.0,1.0,50,100,-1,1,0.96470511852710372
0,hww,central,1,0.0,1.0,50,100,-1,1,0.98791047845158564
0,hww,up,1,0.0,1.0,50,100,-1,1,1.0111158383760677
0,hww,down,1,0.0,1.0,50,100,-1,1,0.96470511852710372
0,hww,central,2,0.0,1.0,50,100,-1,1,0.76485874816818133
0,hww,up,2,0.0,1.0,50,100,-1,1,1.040546633031104
0,hww,down,2,0.0,1.0,50,100,-1,1,0.48917086330525861
2,hww,central,0,0.0,1.0,50,100,-1,1,0.9550530351114509
2,hww,up,0,0.0,1.0,50,100,-1,1,1.0447002135731318
2,hww,down,0,0.0,1.0,50,100,-1,1,0.8654058566497701
2,hww,central,1,0.0,1.0,50,100,-1,1,0.9550530351114509
2,hww,up,1,0.0,1.0,50,100,-1,1,1.0447002135731318
2,hww,down,1,0.0,1.0,50,100,-1,1,0.8654058566497701
2,hww,central,2,0.0,1.0,50,100,-1,1,-5.2986248321906348
2,hww,up,2,0.0,1.0,50,100,-1,1,2.1394033760533562
2,hww,down,2,0.0,1.0,50,100,-1,1,-12.736653040434625
1,hww,central,0,1.0,2.5,50,100,-1,1,0.9746446471939072
1,hww,up,0,1.0,2.5,50,100,-1,1,1.0177671068665104
1,hww,down,0,1.0,2.5,50,100,-1,1,0.93152218752130411
1,hww,central,1,1.0,2.5,50,100,-1,1,0.9746446471939072
1,hww,up,1,1.0,2.5,50,100,-1,1,1.0177671068665104
1,hww,down,1,1.0,2.5,50,100,-1,1,0.93152218752130411
1,hww,central,2,1.0,2.5,50,100,-1,1,0.31913786042567843
1,hww,up,2,1.0,2.5,50,100,-1,1,1.1611947698315759
1,hww,down,2,1.0,2.5,50,100,-1,1,-0.52291904898021913
0,hww,central,0,1.0,2.5,50,100,-1,1,0.96513030657955046
0,hww,up,0,1.0,2.5,50,100,-1,1,0.99962138337510265
0,hww,down,0,1.0,2.5,50,100,-1,1,0.93063922978399827
0,hww,central,1,1.0,2.5,50,100,-1,1,0.96513030657955046
0,hww,up,1,1.0,2.5,50,100,-1,1,0.99962138337510265
0,hww,down,1,1.0,2.5,50,100,-1,1,0.93063922978399827
0,hww,central,2,1.0,2.5,50,100,-1,1,0.92800411030916252
0,hww,up,2,1.0,2.5,50,100,-1,1,1.0464148069547898
0,hww,down,2,1.0,2.5,50,100,-1,1,0.80959341366353521
2,hww,central,0,1.0,2.5,50,100,-1,1,0.96090982967307059
2,hww,up,0,1.0,2.5,50,100,-1,1,1.0549122733089027
2,hww,down,0,1.0,2.5,50,100,-1,1,0.8669073860372386
2,hww,central,1,1.0,2.5,50,100,-1,1,0.96090982967307059
2,hww,up,1,1.0,2.5,50,100,-1,1,1.0549122733089027
2,hww,down,1,1.0,2.5,50,100,-1,1,0.8669073860372386
2,hww,central,2,1.0,2.5,50,100,-1,1,-4.6100893266103853
2,hww,up,2,1.0,2.5,50,100,-1,1,0.66477979079460336
2,hww,down,2,1.0,2.5,50,100,-1,1,-9.8849584440153748
1,hww,central,0,0.0,1.0,100,10000,-1,1,0.92966236454813522
1,hww,up,0,0.0,1.0,100,10000,-1,1,0.98742375996283416
1,hww,down,0,0.0,1.0,100,10000,-1,1,0.87190096913343629
1,hww,central,1,0.0,1.0,100,10000,-1,1,0.92966236454813522
1,hww,up,1,0.0,1.0,100,10000,-1,1,0.98742375996283416
1,hww,down,1,0.0,1.0,100,10000,-1,1,0.87190096913343629
1,hww,central,2,0.0,1.0,100,10000,-1,1,0.36565658749806135
1,hww,up,2,0.0,1.0,100,10000,-1,1,1.7205744013710065
1,hww,down,2,0.0,1.0,100,10000,-1,1,-0.9892612263748839
0,hww,central,0,0.0,1.0,100,10000,-1,1,0.98609478733075751
0,hww,up,0,0.0,1.0,100,10000,-1,1,1.0264284417814
0,hww,down,0,0.0,1.0,100,10000,-1,1,0.94576113288011499
0,hww,central,1,0.0,1.0,100,10000,-1,1,0.98609478733075751
0,hww,up,1,0.0,1.0,100,10000,-1,1,1.0264284417814
0,hww,down,1,0.0,1.0,100,10000,-1,1,0.94576113288011499
0,hww,central,2,0.0,1.0,100,10000,-1,1,0.89143598165384097
0,hww,up,2,0.0,1.0,100,10000,-1,1,1.1350625821399019
0,hww,down,2,0.0,1.0,100,10000,-1,1,0.64780938116778009
2,hww,central,0,0.0,1.0,100,10000,-1,1,0.9315190163707453
2,hww,up,0,0.0,1.0,100,10000,-1,1,1.0440776039292397
2,hww,down,0,0.0,1.0,100,10000,-1,1,0.81896042881225095
2,hww,central,1,0.0,1.0,100,10000,-1,1,0.9315190163707453
2,hww,up,1,0.0,1.0,100,10000,-1,1,1.0440776039292397
2,hww,down,1,0.0,1.0,100,10000,-1,1,0.81896042881225095
2,hww,central,2,0.0,1.0,100,10000,-1,1,-1.9980912654800824
2,hww,up,2,0.0,1.0,100,10000,-1,1,2.6274356169287398
2,hww,down,2,0.0,1.0,100,10000,-1,1,-6.6236181478889051
1,hww,central,0,1.0,2.5,100,10000,-1,1,0.9917531222644651
1,hww,up,0,1.0,2.5,100,10000,-1,1,1.0750155293899519
1,hww,down,0,1.0,2.5,100,10000,-1,1,0.90849071513897828
1,hww,central,1,1.0,2.5,100,10000,-1,1,0.9917531222644651
1,hww,up,1,1.0,2.5,100,10000,-1,1,1.0750155293899519
1,hww,down,1,1.0,2.5,100,10000,-1,1,0.90849071513897828
1,hww,central,2,1.0,2.5,100,10000,-1,1,0.40351041048072478
1,hww,up,2,1.0,2.5,100,10000,-1,1,1.0286870196117657
1,hww,down,2,1.0,2.5,100,10000,-1,1,-0.22166619865031612
0,hww,central,0,1.0,2.5,100,10000,-1,1,0.93821433732405479
0,hww,up,0,1.0,2.5,100,10000,-1,1,1.0049707491892315
0,hww,down,0,1.0,2.5,100,10000,-1,1,0.87145792545887801
0,hww,central,1,1.0,2.5,100,10000,-1,1,0.93821433732405479
0,hww,up,1,1.0,2.5,100,10000,-1,1,1.0049707491892315
0,hww,down,1,1.0,2.5,100,10000,-1,1,0.87145792545887801
0,hww,central,2,1.0,2.5,100,10000,-1,1,0.98458861411281495
0,hww,up,2,1.0,2.5,100,10000,-1,1,1.0911520986465217
0,hww,down,2,1.0,2.5,100,10000,-1,1,0.87802512957910817
2,hww,central,0,1.0,2.5,100,10000,-1,1,1.0060986990301621
2,hww,up,0,1.0,2.5,100,10000,-1,1,1.1547148436212018
2,hww,down,0,1.0,2.5,100,10000,-1,1,0.85748255443912247
2,hww,central,1,1.0,2.5,100,10000,-1,1,1.0060986990301621
2,hww,up,1,1.0,2.5,100,10000,-1,1,1.1547148436212018
2,hww,down,1,1.0,2.5,100,10000,-1,1,0.85748255443912247
2,hww,central,2,1.0,2.5,100,10000,-1,1,-1.6921987460296266
2,hww,up,2,1.0,2.5,100,10000,-1,1,2.0540710713546737
2,hww,down,2,1.0,2.5,100,10000,-1,1,-5.4384685634139274
