CMVA; OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,hww,central,0,0.0,1.0,20,30,-1,1,0.84483812003934133
1,hww,up,0,0.0,1.0,20,30,-1,1,0.88086599546321753
1,hww,down,0,0.0,1.0,20,30,-1,1,0.80881024461546513
1,hww,central,1,0.0,1.0,20,30,-1,1,0.84483812003934133
1,hww,up,1,0.0,1.0,20,30,-1,1,0.88086599546321753
1,hww,down,1,0.0,1.0,20,30,-1,1,0.80881024461546513
1,hww,central,2,0.0,1.0,20,30,-1,1,0.073493593194563986
1,hww,up,2,0.0,1.0,20,30,-1,1,0.59623045348652182
1,hww,down,2,0.0,1.0,20,30,-1,1,-0.44924326709739387
0,hww,central,0,0.0,1.0,20,30,-1,1,0.9075221216754471
0,hww,up,0,0.0,1.0,20,30,-1,1,0.93846512629500944
0,hww,down,0,0.0,1.0,20,30,-1,1,0.87657911705588476
0,hww,central,1,0.0,1.0,20,30,-1,1,0.9075221216754471
0,hww,up,1,0.0,1.0,20,30,-1,1,0.93846512629500944
0,hww,down,1,0.0,1.0,20,30,-1,1,0.87657911705588476
0,hww,central,2,0.0,1.0,20,30,-1,1,0.76011909540324574
0,hww,up,2,0.0,1.0,20,30,-1,1,0.86992047927249627
0,hww,down,2,0.0,1.0,20,30,-1,1,0.6503177115339952
2,hww,central,0,0.0,1.0,20,30,-1,1,0.83202506702273227
2,hww,up,0,0.0,1.0,20,30,-1,1,0.88990119258632794
2,hww,down,0,0.0,1.0,20,30,-1,1,0.7741489414591366
2,hww,central,1,0.0,1.0,20,30,-1,1,0.83202506702273227
2,hww,up,1,0.0,1.0,20,30,-1,1,0.88990119258632794
2,hww,down,1,0.0,1.0,20,30,-1,1,0.7741489414591366
2,hww,central,2,0.0,1.0,20,30,-1,1,-8.8613940913273197
2,hww,up,2,0.0,1.0,20,30,-1,1,-3.3358240180326817
2,hww,down,2,0.0,1.0,20,30,-1,1,-14.386964164621958
1,hww,central,0,1.0,2.5,20,30,-1,1,0.90511062344368198
1,hww,up,0,1.0,2.5,20,30,-1,1,0.94707737840617601
1,hww,down,0,1.0,2.5,20,30,-1,1,0.86314386848118796
1,hww,central,1,1.0,2.5,20,30,-1,1,0.90511062344368198
1,hww,up,1,1.0,2.5,20,30,-1,1,0.94707737840617601
1,hww,down,1,1.0,2.5,20,30,-1,1,0.86314386848118796
1,hww,central,2,1.0,2.5,20,30,-1,1,0.48719206010739513
1,hww,up,2,1.0,2.5,20,30,-1,1,0.77208397823648678
1,hww,down,2,1.0,2.5,20,30,-1,1,0.20230014197830354
0,hww,central,0,1.0,2.5,20,30,-1,1,0.9916127322129088
0,hww,up,0,1.0,2.5,20,30,-1,1,1.0272660331877723
0,hww,down,0,1.0,2.5,20,30,-1,1,0.95595943123804539
0,hww,central,1,1.0,2.5,20,30,-1,1,0.9916127322129088
0,hww,up,1,1.0,2.5,20,30,-1,1,1.0272660331877723
0,hww,down,1,1.0,2.5,20,30,-1,1,0.95595943123804539
0,hww,central,2,1.0,2.5,20,30,-1,1,0.85929983449354241
0,hww,up,2,1.0,2.5,20,30,-1,1,0.92931688544257152
0,hww,down,2,1.0,2.5,20,30,-1,1,0.78928278354451331
2,hww,central,0,1.0,2.5,20,30,-1,1,0.85134824886783744
2,hww,up,0,1.0,2.5,20,30,-1,1,0.90673396921357463
2,hww,down,0,1.0,2.5,20,30,-1,1,0.79596252852210025
2,hww,central,1,1.0,2.5,20,30,-1,1,0.85134824886783744
2,hww,up,1,1.0,2.5,20,30,-1,1,0.90673396921357463
2,hww,down,1,1.0,2.5,20,30,-1,1,0.79596252852210025
2,hww,central,2,1.0,2.5,20,30,-1,1,-1.3894447940441153
2,hww,up,2,1.0,2.5,20,30,-1,1,0.051637112305003896
2,hww,down,2,1.0,2.5,20,30,-1,1,-2.8305267003932344
1,hww,central,0,0.0,1.0,30,50,-1,1,0.87948797883771801
1,hww,up,0,0.0,1.0,30,50,-1,1,0.89896447508802524
1,hww,down,0,0.0,1.0,30,50,-1,1,0.86001148258741078
1,hww,central,1,0.0,1.0,30,50,-1,1,0.87948797883771801
1,hww,up,1,0.0,1.0,30,50,-1,1,0.89896447508802524
1,hww,down,1,0.0,1.0,30,50,-1,1,0.86001148258741078
1,hww,central,2,0.0,1.0,30,50,-1,1,-0.45430909586095036
1,hww,up,2,0.0,1.0,30,50,-1,1,0.74235710116543019
1,hww,down,2,0.0,1.0,30,50,-1,1,-1.6509752928873309
0,hww,central,0,0.0,1.0,30,50,-1,1,0.94641188231865092
0,hww,up,0,0.0,1.0,30,50,-1,1,0.96214194368250994
0,hww,down,0,0.0,1.0,30,50,-1,1,0.93068182095479191
0,hww,central,1,0.0,1.0,30,50,-1,1,0.94641188231865092
0,hww,up,1,0.0,1.0,30,50,-1,1,0.96214194368250994
0,hww,down,1,0.0,1.0,30,50,-1,1,0.93068182095479191
0,hww,central,2,0.0,1.0,30,50,-1,1,0.74384787355696913
0,hww,up,2,0.0,1.0,30,50,-1,1,0.91443523276137961
0,hww,down,2,0.0,1.0,30,50,-1,1,0.57326051435255865
2,hww,central,0,0.0,1.0,30,50,-1,1,0.83395951787187839
2,hww,up,0,0.0,1.0,30,50,-1,1,0.86427297944788406
2,hww,down,0,0.0,1.0,30,50,-1,1,0.80364605629587271
2,hww,central,1,0.0,1.0,30,50,-1,1,0.83395951787187839
2,hww,up,1,0.0,1.0,30,50,-1,1,0.86427297944788406
2,hww,down,1,0.0,1.0,30,50,-1,1,0.80364605629587271
2,hww,central,2,0.0,1.0,30,50,-1,1,-5.7704777209014342
2,hww,up,2,0.0,1.0,30,50,-1,1,-0.5276671396914816
2,hww,down,2,0.0,1.0,30,50,-1,1,-11.013288302111388
1,hww,central,0,1.0,2.5,30,50,-1,1,0.90443382670384331
1,hww,up,0,1.0,2.5,30,50,-1,1,0.92668703665494434
1,hww,down,0,1.0,2.5,30,50,-1,1,0.88218061675274229
1,hww,central,1,1.0,2.5,30,50,-1,1,0.90443382670384331
1,hww,up,1,1.0,2.5,30,50,-1,1,0.92668703665494434
1,hww,down,1,1.0,2.5,30,50,-1,1,0.88218061675274229
1,hww,central,2,1.0,2.5,30,50,-1,1,0.38223469309283414
1,hww,up,2,1.0,2.5,30,50,-1,1,0.89955064255315409
1,hww,down,2,1.0,2.5,30,50,-1,1,-0.13508125636748575
0,hww,central,0,1.0,2.5,30,50,-1,1,0.93128999915927313
0,hww,up,0,1.0,2.5,30,50,-1,1,0.95109872192986322
0,hww,down,0,1.0,2.5,30,50,-1,1,0.91148127638868304
0,hww,central,1,1.0,2.5,30,50,-1,1,0.93128999915927313
0,hww,up,1,1.0,2.5,30,50,-1,1,0.95109872192986322
0,hww,down,1,1.0,2.5,30,50,-1,1,0.91148127638868304
0,hww,central,2,1.0,2.5,30,50,-1,1,0.87849432332636213
0,hww,up,2,1.0,2.5,30,50,-1,1,0.96752940336868587
0,hww,down,2,1.0,2.5,30,50,-1,1,0.78945924328403838
2,hww,central,0,1.0,2.5,30,50,-1,1,0.90165898974229319
2,hww,up,0,1.0,2.5,30,50,-1,1,0.93147144535750259
2,hww,down,0,1.0,2.5,30,50,-1,1,0.87184653412708379
2,hww,central,1,1.0,2.5,30,50,-1,1,0.90165898974229319
2,hww,up,1,1.0,2.5,30,50,-1,1,0.93147144535750259
2,hww,down,1,1.0,2.5,30,50,-1,1,0.87184653412708379
2,hww,central,2,1.0,2.5,30,50,-1,1,-2.4283732119108157
2,hww,up,2,1.0,2.5,30,50,-1,1,0.165620267447673
2,hww,down,2,1.0,2.5,30,50,-1,1,-5.0223666912693048
1,hww,central,0,0.0,1.0,50,100,-1,1,0.88319467660873185
1,hww,up,0,0.0,1.0,50,100,-1,1,0.89957070794793503
1,hww,down,0,0.0,1.0,50,100,-1,1,0.86681864526952868
1,hww,central,1,0.0,1.0,50,100,-1,1,0.88319467660873185
1,hww,up,1,0.0,1.0,50,100,-1,1,0.89957070794793503
1,hww,down,1,0.0,1.0,50,100,-1,1,0.86681864526952868
1,hww,central,2,0.0,1.0,50,100,-1,1,-0.10043947938340532
1,hww,up,2,0.0,1.0,50,100,-1,1,1.411818334609187
1,hww,down,2,0.0,1.0,50,100,-1,1,-1.6126972933759978
0,hww,central,0,0.0,1.0,50,100,-1,1,0.93824206187017156
0,hww,up,0,0.0,1.0,50,100,-1,1,0.95120723906529414
0,hww,down,0,0.0,1.0,50,100,-1,1,0.92527688467504898
0,hww,central,1,0.0,1.0,50,100,-1,1,0.93824206187017156
0,hww,up,1,0.0,1.0,50,100,-1,1,0.95120723906529414
0,hww,down,1,0.0,1.0,50,100,-1,1,0.92527688467504898
0,hww,central,2,0.0,1.0,50,100,-1,1,0.80974039651684593
0,hww,up,2,0.0,1.0,50,100,-1,1,1.0308614745506572
0,hww,down,2,0.0,1.0,50,100,-1,1,0.5886193184830345
2,hww,central,0,0.0,1.0,50,100,-1,1,0.83695929473180253
2,hww,up,0,0.0,1.0,50,100,-1,1,0.87856725229522992
2,hww,down,0,0.0,1.0,50,100,-1,1,0.79535133716837514
2,hww,central,1,0.0,1.0,50,100,-1,1,0.83695929473180253
2,hww,up,1,0.0,1.0,50,100,-1,1,0.87856725229522992
2,hww,down,1,0.0,1.0,50,100,-1,1,0.79535133716837514
2,hww,central,2,0.0,1.0,50,100,-1,1,-4.107007394660104
2,hww,up,2,0.0,1.0,50,100,-1,1,3.0384630898445604
2,hww,down,2,0.0,1.0,50,100,-1,1,-11.252477879164768
1,hww,central,0,1.0,2.5,50,100,-1,1,0.8744734694033327
1,hww,up,0,1.0,2.5,50,100,-1,1,0.89611004450685072
1,hww,down,0,1.0,2.5,50,100,-1,1,0.85283689429981469
1,hww,central,1,1.0,2.5,50,100,-1,1,0.8744734694033327
1,hww,up,1,1.0,2.5,50,100,-1,1,0.89611004450685072
1,hww,down,1,1.0,2.5,50,100,-1,1,0.85283689429981469
1,hww,central,2,1.0,2.5,50,100,-1,1,0.32437586894026083
1,hww,up,2,1.0,2.5,50,100,-1,1,1.1013581943051083
1,hww,down,2,1.0,2.5,50,100,-1,1,-0.45260645642458663
0,hww,central,0,1.0,2.5,50,100,-1,1,0.92608756912920032
0,hww,up,0,1.0,2.5,50,100,-1,1,0.94569655683413278
0,hww,down,0,1.0,2.5,50,100,-1,1,0.90647858142426785
0,hww,central,1,1.0,2.5,50,100,-1,1,0.92608756912920032
0,hww,up,1,1.0,2.5,50,100,-1,1,0.94569655683413278
0,hww,down,1,1.0,2.5,50,100,-1,1,0.90647858142426785
0,hww,central,2,1.0,2.5,50,100,-1,1,0.88708413792645613
0,hww,up,2,1.0,2.5,50,100,-1,1,1.0112394141140433
0,hww,down,2,1.0,2.5,50,100,-1,1,0.76292886173886909
2,hww,central,0,1.0,2.5,50,100,-1,1,0.84311468781506649
2,hww,up,0,1.0,2.5,50,100,-1,1,0.87898902284647107
2,hww,down,0,1.0,2.5,50,100,-1,1,0.80724035278366191
2,hww,central,1,1.0,2.5,50,100,-1,1,0.84311468781506649
2,hww,up,1,1.0,2.5,50,100,-1,1,0.87898902284647107
2,hww,down,1,1.0,2.5,50,100,-1,1,0.80724035278366191
2,hww,central,2,1.0,2.5,50,100,-1,1,-2.7728502872896921
2,hww,up,2,1.0,2.5,50,100,-1,1,1.1973882932832605
2,hww,down,2,1.0,2.5,50,100,-1,1,-6.7430888678626442
1,hww,central,0,0.0,1.0,100,10000,-1,1,0.87047059321960252
1,hww,up,0,0.0,1.0,100,10000,-1,1,0.89731987441292294
1,hww,down,0,0.0,1.0,100,10000,-1,1,0.8436213120262821
1,hww,central,1,0.0,1.0,100,10000,-1,1,0.87047059321960252
1,hww,up,1,0.0,1.0,100,10000,-1,1,0.89731987441292294
1,hww,down,1,0.0,1.0,100,10000,-1,1,0.8436213120262821
1,hww,central,2,0.0,1.0,100,10000,-1,1,0.34182162924900567
1,hww,up,2,0.0,1.0,100,10000,-1,1,1.5567335985404347
1,hww,down,2,0.0,1.0,100,10000,-1,1,-0.87309034004242325
0,hww,central,0,0.0,1.0,100,10000,-1,1,0.93949073268988381
0,hww,up,0,0.0,1.0,100,10000,-1,1,0.95967417178845948
0,hww,down,0,0.0,1.0,100,10000,-1,1,0.91930729359130814
