CMVA; OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,hww,central,1,0.0,1.0,100,10000,-1,1,0.93949073268988381
0,hww,up,1,0.0,1.0,100,10000,-1,1,0.95967417178845948
0,hww,down,1,0.0,1.0,100,10000,-1,1,0.91930729359130814
0,hww,central,2,0.0,1.0,100,10000,-1,1,0.85321930428815729
0,hww,up,2,0.0,1.0,100,10000,-1,1,1.0298695915446352
0,hww,down,2,0.0,1.0,100,10000,-1,1,0.67656901703167949
2,hww,central,0,0.0,1.0,100,10000,-1,1,0.82138988498163878
2,hww,up,0,0.0,1.0,100,10000,-1,1,0.87238690527476592
2,hww,down,0,0.0,1.0,100,10000,-1,1,0.77039286468851165
2,hww,central,1,0.0,1.0,100,10000,-1,1,0.82138988498163878
2,hww,up,1,0.0,1.0,100,10000,-1,1,0.87238690527476592
2,hww,down,1,0.0,1.0,100,10000,-1,1,0.77039286468851165
2,hww,central,2,0.0,1.0,100,10000,-1,1,-1.2024184336642736
2,hww,up,2,0.0,1.0,100,10000,-1,1,3.1266414718429538
2,hww,down,2,0.0,1.0,100,10000,-1,1,-5.5314783391715014
1,hww,central,0,1.0,2.5,100,10000,-1,1,0.84596266994128944
1,hww,up,0,1.0,2.5,100,10000,-1,1,0.88504875787842607
1,hww,down,0,1.0,2.5,100,10000,-1,1,0.8068765820041528
1,hww,central,1,1.0,2.5,100,10000,-1,1,0.84596266994128944
1,hww,up,1,1.0,2.5,100,10000,-1,1,0.88504875787842607
1,hww,down,1,1.0,2.5,100,10000,-1,1,0.8068765820041528
1,hww,central,2,1.0,2.5,100,10000,-1,1,0.7274111923263562
1,hww,up,2,1.0,2.5,100,10000,-1,1,1.1933437230675703
1,hww,down,2,1.0,2.5,100,10000,-1,1,0.26147866158514205
0,hww,central,0,1.0,2.5,100,10000,-1,1,0.87232273764137847
0,hww,up,0,1.0,2.5,100,10000,-1,1,0.90540713257809902
0,hww,down,0,1.0,2.5,100,10000,-1,1,0.83923834270465791
0,hww,central,1,1.0,2.5,100,10000,-1,1,0.87232273764137847
0,hww,up,1,1.0,2.5,100,10000,-1,1,0.90540713257809902
0,hww,down,1,1.0,2.5,100,10000,-1,1,0.83923834270465791
0,hww,central,2,1.0,2.5,100,10000,-1,1,0.93346242234851751
0,hww,up,2,1.0,2.5,100,10000,-1,1,1.0157225687155904
0,hww,down,2,1.0,2.5,100,10000,-1,1,0.8512022759814446
2,hww,central,0,1.0,2.5,100,10000,-1,1,0.81815090155337755
2,hww,up,0,1.0,2.5,100,10000,-1,1,0.89235601072178172
2,hww,down,0,1.0,2.5,100,10000,-1,1,0.74394579238497338
2,hww,central,1,1.0,2.5,100,10000,-1,1,0.81815090155337755
2,hww,up,1,1.0,2.5,100,10000,-1,1,0.89235601072178172
2,hww,down,1,1.0,2.5,100,10000,-1,1,0.74394579238497338
2,hww,central,2,1.0,2.5,100,10000,-1,1,1.2389814637320442
2,hww,up,2,1.0,2.5,100,10000,-1,1,4.9332046832240479
2,hww,down,2,1.0,2.5,100,10000,-1,1,-2.4552417557599591
