-2.400	-2.100	0.000	10.000	0.000	0.000	0.043	0.000	0.000
-2.400	-2.100	10.000	11.000	0.029	0.024	0.063	0.041	0.029
-2.400	-2.100	11.000	12.000	0.286	0.082	0.096	0.101	0.091
-2.400	-2.100	12.000	13.000	0.700	0.106	0.091	0.080	0.149
-2.400	-2.100	13.000	14.000	0.705	0.085	0.074	0.087	0.064
-2.400	-2.100	14.000	15.000	0.787	0.077	0.063	0.042	0.072
-2.400	-2.100	15.000	20.000	0.833	0.022	0.020	0.029	0.027
-2.400	-2.100	20.000	25.000	0.819	0.017	0.016	0.016	0.030
-2.400	-2.100	25.000	30.000	0.816	0.012	0.012	0.016	0.002
-2.400	-2.100	30.000	35.000	0.821	0.009	0.009	0.004	0.007
-2.400	-2.100	35.000	40.000	0.832	0.008	0.007	0.003	0.005
-2.400	-2.100	40.000	45.000	0.830	0.007	0.007	0.003	0.013
-2.400	-2.100	45.000	50.000	0.829	0.009	0.009	0.003	0.004
-2.400	-2.100	50.000	60.000	0.840	0.012	0.011	0.006	0.007
-2.400	-2.100	60.000	100.000	0.841	0.021	0.019	0.034	0.027
-2.400	-2.100	100.000	200.000	0.920	0.096	0.052	0.084	0.083
-2.100	-1.600	0.000	10.000	0.000	0.000	0.024	0.000	0.000
-2.100	-1.600	10.000	11.000	0.024	0.020	0.054	0.013	0.024
-2.100	-1.600	11.000	12.000	0.100	0.043	0.062	0.026	0.048
-2.100	-1.600	12.000	13.000	0.746	0.067	0.058	0.037	0.109
-2.100	-1.600	13.000	14.000	0.841	0.060	0.047	0.103	0.055
-2.100	-1.600	14.000	15.000	0.813	0.050	0.042	0.024	0.060
-2.100	-1.600	15.000	20.000	0.837	0.017	0.016	0.018	0.005
-2.100	-1.600	20.000	25.000	0.850	0.011	0.011	0.006	0.013
-2.100	-1.600	25.000	30.000	0.862	0.008	0.007	0.011	0.008
-2.100	-1.600	30.000	35.000	0.859	0.006	0.006	0.003	0.012
-2.100	-1.600	35.000	40.000	0.848	0.005	0.005	0.001	0.010
-2.100	-1.600	40.000	45.000	0.857	0.004	0.004	0.004	0.005
-2.100	-1.600	45.000	50.000	0.858	0.005	0.005	0.002	0.006
-2.100	-1.600	50.000	60.000	0.858	0.007	0.007	0.002	0.007
-2.100	-1.600	60.000	100.000	0.845	0.012	0.012	0.005	0.015
-2.100	-1.600	100.000	200.000	0.802	0.046	0.040	0.058	0.069
-1.600	-1.200	0.000	10.000	0.000	0.000	0.028	0.000	0.000
-1.600	-1.200	10.000	11.000	0.000	0.000	0.056	0.000	0.000
-1.600	-1.200	11.000	12.000	0.000	0.000	0.074	0.123	0.062
-1.600	-1.200	12.000	13.000	0.714	0.096	0.082	0.265	0.113
-1.600	-1.200	13.000	14.000	0.849	0.066	0.050	0.066	0.089
-1.600	-1.200	14.000	15.000	0.915	0.053	0.036	0.027	0.045
-1.600	-1.200	15.000	20.000	0.928	0.015	0.013	0.009	0.003
-1.600	-1.200	20.000	25.000	0.932	0.010	0.009	0.013	0.015
-1.600	-1.200	25.000	30.000	0.942	0.006	0.005	0.014	0.006
-1.600	-1.200	30.000	35.000	0.933	0.005	0.004	0.006	0.003
-1.600	-1.200	35.000	40.000	0.942	0.003	0.003	0.004	0.004
-1.600	-1.200	40.000	45.000	0.946	0.003	0.003	0.006	0.001
-1.600	-1.200	45.000	50.000	0.947	0.003	0.003	0.001	0.002
-1.600	-1.200	50.000	60.000	0.955	0.004	0.004	0.010	0.002
-1.600	-1.200	60.000	100.000	0.951	0.008	0.007	0.007	0.002
-1.600	-1.200	100.000	200.000	0.939	0.031	0.022	0.018	0.037
-1.200	-0.800	0.000	10.000	0.000	0.000	0.034	0.000	0.000
-1.200	-0.800	10.000	11.000	0.000	0.000	0.068	0.000	0.000
-1.200	-0.800	11.000	12.000	0.030	0.025	0.066	0.044	0.076
-1.200	-0.800	12.000	13.000	0.955	0.057	0.029	0.035	0.080
-1.200	-0.800	13.000	14.000	0.930	0.063	0.038	0.071	0.027
-1.200	-0.800	14.000	15.000	0.900	0.055	0.039	0.036	0.059
-1.200	-0.800	15.000	20.000	0.944	0.013	0.011	0.012	0.017
-1.200	-0.800	20.000	25.000	0.930	0.009	0.008	0.021	0.026
-1.200	-0.800	25.000	30.000	0.931	0.006	0.006	0.010	0.005
-1.200	-0.800	30.000	35.000	0.940	0.004	0.004	0.004	0.002
-1.200	-0.800	35.000	40.000	0.943	0.003	0.003	0.005	0.003
-1.200	-0.800	40.000	45.000	0.943	0.003	0.003	0.000	0.001
-1.200	-0.800	45.000	50.000	0.944	0.003	0.003	0.005	0.009
-1.200	-0.800	50.000	60.000	0.933	0.005	0.005	0.011	0.008
-1.200	-0.800	60.000	100.000	0.938	0.008	0.007	0.014	0.020
-1.200	-0.800	100.000	200.000	0.917	0.031	0.024	0.027	0.017
-0.800	-0.300	0.000	10.000	0.000	0.000	0.060	0.000	0.000
-0.800	-0.300	10.000	11.000	0.000	0.000	0.068	0.000	0.000
-0.800	-0.300	11.000	12.000	0.129	0.061	0.090	0.128	0.082
-0.800	-0.300	12.000	13.000	0.931	0.051	0.033	0.034	0.053
-0.800	-0.300	13.000	14.000	0.975	0.032	0.016	0.045	0.015
-0.800	-0.300	14.000	15.000	0.937	0.041	0.027	0.023	0.045
-0.800	-0.300	15.000	20.000	0.962	0.009	0.007	0.007	0.004
-0.800	-0.300	20.000	25.000	0.956	0.006	0.005	0.007	0.003
-0.800	-0.300	25.000	30.000	0.962	0.004	0.003	0.005	0.004
-0.800	-0.300	30.000	35.000	0.959	0.003	0.003	0.007	0.004
-0.800	-0.300	35.000	40.000	0.961	0.002	0.002	0.001	0.002
-0.800	-0.300	40.000	45.000	0.962	0.002	0.002	0.003	0.002
-0.800	-0.300	45.000	50.000	0.960	0.002	0.002	0.002	0.004
-0.800	-0.300	50.000	60.000	0.954	0.003	0.003	0.005	0.011
-0.800	-0.300	60.000	100.000	0.965	0.005	0.005	0.009	0.005
-0.800	-0.300	100.000	200.000	0.959	0.020	0.014	0.002	0.004
-0.300	-0.200	0.000	10.000	0.000	0.000	0.308	0.000	0.000
-0.300	-0.200	10.000	11.000	0.000	0.000	0.369	0.000	0.000
-0.300	-0.200	11.000	12.000	0.000	0.000	0.841	0.000	0.000
-0.300	-0.200	12.000	13.000	0.818	0.191	0.117	0.060	0.366
-0.300	-0.200	13.000	14.000	0.875	0.232	0.104	0.025	0.126
-0.300	-0.200	14.000	15.000	1.000	0.231	0.000	0.000	0.000
-0.300	-0.200	15.000	20.000	0.902	0.032	0.025	0.046	0.048
-0.300	-0.200	20.000	25.000	0.881	0.021	0.019	0.022	0.032
-0.300	-0.200	25.000	30.000	0.881	0.015	0.013	0.012	0.011
-0.300	-0.200	30.000	35.000	0.874	0.011	0.010	0.012	0.018
