-2.40	-2.10	0.0	8.0		0.000	0.0	0.014
-2.40	-2.10	8.0	9.0		0.083	0.062	0.11
-2.40	-2.10	9.0	10.0		0.030	0.025	0.084
-2.40	-2.10	10.0	11.0		0.097	0.083	0.088
-2.40	-2.10	11.0	12.0		0.884	0.075	0.054
-2.40	-2.10	12.0	13.0		0.898	0.113	0.043
-2.40	-2.10	13.0	14.0		0.979	0.046	0.096
-2.40	-2.10	14.0	20.0		0.949	0.026	0.011
-2.40	-2.10	20.0	25.0		0.960	0.009	0.011
-2.40	-2.10	25.0	30.0		0.972	0.005	0.013
-2.40	-2.10	30.0	40.0		0.970	0.004	0.002
-2.40	-2.10	40.0	45.0		0.976	0.004	0.004
-2.40	-2.10	45.0	50.0		0.969	0.005	0.004
-2.40	-2.10	50.0	60.0		0.967	0.012	0.005
-2.40	-2.10	60.0	100.0		0.970	0.013	0.013
-2.40	-2.10	100.0	200.0		0.927	0.066	0.087
-2.10	-1.60	0.0	8.0		0.000	0.008	0.01
-2.10	-1.60	8.0	9.0		0.000	0.0	0.054
-2.10	-1.60	9.0	10.0		0.000	0.0	0.049
-2.10	-1.60	10.0	11.0		0.091	0.053	0.056
-2.10	-1.60	11.0	12.0		0.900	0.057	0.072
-2.10	-1.60	12.0	13.0		0.969	0.046	0.019
-2.10	-1.60	13.0	14.0		1.000	0.02	0.022
-2.10	-1.60	14.0	20.0		0.984	0.013	0.004
-2.10	-1.60	20.0	25.0		0.991	0.004	0.004
-2.10	-1.60	25.0	30.0		0.987	0.003	0.005
-2.10	-1.60	30.0	40.0		0.987	0.002	0.001
-2.10	-1.60	40.0	45.0		0.987	0.002	0.001
-2.10	-1.60	45.0	50.0		0.986	0.003	0.002
-2.10	-1.60	50.0	60.0		0.987	0.005	0.002
-2.10	-1.60	60.0	100.0		0.985	0.01	0.004
-2.10	-1.60	100.0	200.0		0.992	0.019	0.006
-1.60	-1.20	0.0	8.0		0.000	0.0	0.022
-1.60	-1.20	8.0	9.0		0.038	0.032	0.092
-1.60	-1.20	9.0	10.0		0.037	0.031	0.096
-1.60	-1.20	10.0	11.0		0.067	0.05	0.091
-1.60	-1.20	11.0	12.0		1.000	0.045	0.095
-1.60	-1.20	12.0	13.0		0.980	0.044	0.054
-1.60	-1.20	13.0	14.0		1.000	0.035	0.017
-1.60	-1.20	14.0	20.0		0.987	0.006	0.009
-1.60	-1.20	20.0	25.0		0.997	0.003	0.01
-1.60	-1.20	25.0	30.0		0.990	0.004	0.003
-1.60	-1.20	30.0	40.0		0.989	0.001	0.001
-1.60	-1.20	40.0	45.0		0.990	0.001	0.001
-1.60	-1.20	45.0	50.0		0.987	0.002	0.002
-1.60	-1.20	50.0	60.0		0.990	0.003	0.003
-1.60	-1.20	60.0	100.0		0.990	0.004	0.006
-1.60	-1.20	100.0	200.0		0.983	0.026	0.011
