mH_GeV   XS_pb       Scale_pos  Scale_neg  PDF_plus_alpha_s  PDF  alpha_S
2050.00    6.303E-03    +0.7    -1.7     3.7     3.7     0.2
2100.00    5.638E-03    +0.7    -1.7     3.8     3.8     0.2
2150.00    5.046E-03    +0.7    -1.8     3.9     3.9     0.2
2200.00    4.520E-03    +0.8    -1.8     3.9     3.9     0.2
2250.00    4.051E-03    +0.8    -1.9     4.0     4.0     0.2
2300.00    3.633E-03    +0.8    -1.9     4.1     4.1     0.2
2350.00    3.259E-03    +0.9    -2.0     4.2     4.2     0.2
2400.00    2.925E-03    +0.9    -2.0     4.3     4.3     0.2
2450.00    2.627E-03    +0.9    -2.1     4.4     4.4     0.2
2500.00    2.360E-03    +1.0    -2.1     4.5     4.5     0.2
2550.00    2.122E-03    +1.0    -2.2     4.6     4.6     0.2
2600.00    1.908E-03    +1.0    -2.2     4.7     4.7     0.2
2650.00    1.717E-03    +1.0    -2.3     4.8     4.8     0.2
2700.00    1.545E-03    +1.1    -2.3     4.9     4.9     0.2
2750.00    1.391E-03    +1.1    -2.4     5.0     5.0     0.2
2800.00    1.252E-03    +1.1    -2.4     5.1     5.1     0.2
2850.00    1.128E-03    +1.1    -2.5     5.3     5.3     0.2
2900.00    1.016E-03    +1.2    -2.5     5.4     5.4     0.2
2950.00    9.156E-04    +1.2    -2.6     5.5     5.5     0.2
3000.00    8.253E-04    +1.2    -2.7     5.7     5.7     0.2
4000.00    8.253E-04    +1.2    -2.7     5.7     5.7     0.2
5000.00    8.253E-04    +1.2    -2.7     5.7     5.7     0.2
