mH_GeV   XS_pb      Scale_pos  Scale_neg  PDF_plus_alpha_s XS_W_plus_pb  XS_W_minus_pb
1300.00  8.801E-05  +2.1       -2.5              7.3        6.480E-05  2.321E-03
1350.00  7.094E-05  +2.1       -2.6              7.7        5.236E-05  1.858E-03
1400.00  5.742E-05  +2.2       -2.7              8.1        4.247E-05  1.495E-03
1450.00  4.664E-05  +2.2       -2.7              8.5        3.457E-05  1.207E-03
1500.00  3.804E-05  +2.2       -2.8              8.9        2.824E-05  9.796E-03
1550.00  3.112E-05  +2.2       -2.8              9.3        2.314E-05  7.979E-03
1600.00  2.553E-05  +2.2       -2.9              9.7        1.901E-05  6.522E-03
1650.00  2.101E-05  +2.3       -3.0             10.0        1.566E-05  5.347E-03
1700.00  1.733E-05  +2.3       -3.0             10.4        1.293E-05  4.399E-03
1750.00  1.433E-05  +2.4       -3.1             10.8        1.070E-05  3.629E-03
1800.00  1.187E-05  +2.4       -3.1             11.2        8.871E-06  3.002E-03
1850.00  9.858E-06  +2.4       -3.2             11.6        7.368E-06  2.490E-03
1900.00  8.199E-06  +2.5       -3.2             12.0        6.128E-06  2.071E-03
1950.00  6.833E-06  +2.5       -3.3             12.4        5.108E-06  1.725E-03
2000.00  5.706E-06  +2.5       -3.3             12.9        4.265E-06  1.441E-03
