#                                                                        
#   isolation efficiencies for data on the left and MC on the right                                                                       
#      MC: MG+Py8                                                                   
#                                                                        
#
# 
#    
#                                                 data                                                      MC
#  etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                                          eff     deff_high       deff_low
-2.4    -2.1    10      13      0.727885        0.0172306        0.015455                                 0.801921        0.010024         0.0101409
-2.1    -1.6    10      13      0.743268        0.0106882        0.0107321                                0.777589        0.00823587       0.00817829
-1.6    -1.2    10      13      0.723975        0.0123583        0.0125554                                0.75402 0.00948807       0.00963505
-1.2    -0.8    10      13      0.686269        0.0144994        0.0146498                                0.6966  0.000259705      0.000259705
-0.8    -0.3    10      13      0.618837        0.0166706        0.0168263                                0.677027        0.0118756        0.0118659
-0.3    -0.2    10      13      0.559885        0.044228         0.0354842                                0.634591        0.0358302        0.0327608
-0.2    0.2     10      13      0.568519        0.0219049        0.0220514                                0.634699        0.0185218        0.0191537
0.2     0.3     10      13      0.620697        0.0514436        0.0487482                                0.673948        0.0335647        0.034326
0.3     0.8     10      13      0.635141        0.0161386        0.0162491                                0.670015        0.0120284        0.0119974
0.8     1.2     10      13      0.706267        0.0140169        0.0140939                                0.707808        0.0109128        0.0108144
1.2     1.6     10      13      0.729254        0.0146991        0.0126522                                0.732804        0.00866092       0.00876184
1.6     2.1     10      13      0.751983        0.0104542        0.0105762                                0.793175        0.00792155       0.00803057
2.1     2.4     10      13      0.729979        0.01286  0.0128729                                        0.795667        0.0100191        0.0100859
-2.4    -2.1    13      16      0.818749        0.0108032        0.0110112                                0.848648        0.00817101       0.00804097
-2.1    -1.6    13      16      0.817981        0.00769035       0.00784077                               0.83364 0.00622859       0.00647514
-1.6    -1.2    13      16      0.781508        0.00902102       0.0090608                                0.804547        0.00720334       0.00728652
-1.2    -0.8    13      16      0.732182        0.00992408       0.00998716                               0.758863        0.0075848        0.00765544
-0.8    -0.3    13      16      0.695717        0.0105087        0.0105949                                0.732316        0.00787934       0.00785549
-0.3    -0.2    13      16      0.672019        0.0308588        0.0311121                                0.694387        0.0181883        0.0187243
-0.2    0.2     13      16      0.67925 0.0140947        0.0142578                                        0.661558        0.0107913        0.0109068
0.2     0.3     13      16      0.634002        0.0322165        0.0282307                                0.669634        0.021684         0.0218368
0.3     0.8     13      16      0.700039        0.0101736        0.0102492                                0.726689        0.0075418        0.00753924
0.8     1.2     13      16      0.722434        0.0100217        0.0101113                                0.740393        0.00760365       0.0075666
