#                                                                        
#   isolation efficiencies for data on the left and MC on the right                                                                       
#      MC: MG+Py8                                                                   
#                                                                        
#
# 
#    
#                                                 data                                                      MC
#   etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                                        eff     deff_high       deff_low
1.6     2.1     25      30      0.933346        0.00138539       0.00139791                            0.936109        0.00165005       0.00166887
2.1     2.4     25      30      0.932111        0.00196797       0.00200141                             0.947655        0.00202338       0.00204546
-2.4    -2.1    30      40      0.964777        0.00081219       0.000814003                           0.969182        0.000902649      0.000909088
-2.1    -1.6    30      40      0.963071        0.000581997      0.00058774                            0.965335        0.000673993      0.000674135
-1.6    -1.2    30      40      0.95568 0.000653362      0.000653865                                   0.956633        0.000774214      0.000779573
-1.2    -0.8    30      40      0.944523        0.000659054      0.000657881                           0.947933        0.000741566      0.00074861
-0.8    -0.3    30      40      0.935074        0.000558721      0.000555915                           0.944476        0.000616345      0.000621181
-0.3    -0.2    30      40      0.929926        0.00128578       0.00129794                            0.940451        0.00144537       0.00145305
-0.2    0.2     30      40      0.928291        0.000626324      0.000629                              0.941215        0.000682132      0.000685213
0.2     0.3     30      40      0.933594        0.00129677       0.00130591                            0.944212        0.00143806       0.00145671
0.3     0.8     30      40      0.936854        0.000550761      0.0005493                             0.944583        0.000617423      0.000620185
0.8     1.2     30      40      0.944331        0.000652139      0.000653592                           0.947995        0.000744085      0.000746664
1.2     1.6     30      40      0.953199        0.000668217      0.000673949                           0.957799        0.000760181      0.000767931
1.6     2.1     30      40      0.963128        0.000586224      0.000585425                           0.965314        0.000674736      0.000672583
2.1     2.4     30      40      0.962428        0.00083886       0.000842683                           0.970309        0.000871756      0.000878046
-2.4    -2.1    40      60      0.985937        0.000428715      0.000435728                           0.988882        0.000433346      0.000441871
-2.1    -1.6    40      60      0.986347        0.000262111      0.000267792                           0.988353        0.00028871       0.000291033
-1.6    -1.2    40      60      0.983084        0.000287163      0.000289083                           0.985047        0.000326147      0.000328877
-1.2    -0.8    40      60      0.978117        0.000311         0.000313148                           0.981019        0.000353664      0.000355735
-0.8    -0.3    40      60      0.972655        0.000296786      0.000296457                           0.97876 0.0003249        0.000327185
-0.3    -0.2    40      60      0.968448        0.000733733      0.000744407                           0.975449        0.000788824      0.000805489
-0.2    0.2     40      60      0.968043        0.000354266      0.000355861                           0.975829        0.000381759      0.000385147
0.2     0.3     40      60      0.97043 0.000717243      0.000726094                                    0.975694        0.000799889      0.000813737
0.3     0.8     40      60      0.973506        0.000290695      0.000291975                            0.977868        0.000330632      0.000333615
0.8     1.2     40      60      0.97795 0.000307208      0.000309702                                    0.98025 0.00036026       0.000361447
1.2     1.6     40      60      0.982386        0.000292382      0.000293418                            0.984723        0.000328315      0.000330636
1.6     2.1     40      60      0.986103        0.000268002      0.000266194                            0.988677        0.000285439      0.000288502
2.1     2.4     40      60      0.985537        0.000436353      0.000440175                            0.989594        0.000413001      0.000419313
-2.4    -2.1    60      100     0.993343        0.00113193       0.0011984                             0.994792        0.00101966       0.00109452
-2.1    -1.6    60      100     0.993246        0.000651524      0.000678218                           0.99307 0.000757138      0.000799479
-1.6    -1.2    60      100     0.99009 0.000726582      0.000748695                                   0.991064        0.000825768      0.00086602
-1.2    -0.8    60      100     0.986945        0.000777374      0.000800243                           0.989037        0.000896978      0.000935623
-0.8    -0.3    60      100     0.987115        0.000675551      0.000695902                           0.988484        0.000778817      0.000808931
-0.3    -0.2    60      100     0.982262        0.00179667       0.00188879                            0.987001        0.00192938       0.0020837
