#                                                                        
#   id efficiencies for data on the left and MC on the right                                                                       
#      MC: MG+Py8                                                                   
#                                                                        
#
# 
#    
#                                                 data                                                      MC
# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                             eff     deff_high       deff_low
-2.4    -2.1    10      13      0.890226        0.0110587        0.0110836                   0.939816        0.00766707       0.00799196
-2.1    -1.6    10      13      0.956779        0.00695355       0.00703806                  0.975677        0.00397218       0.00418112
-1.6    -1.2    10      13      0.957224        0.00651615       0.00661986                  0.978191        0.00390481       0.00414742
-1.2    -0.8    10      13      0.924422        0.00831926       0.00838419                  0.959949        0.00514195       0.00539898
-0.8    -0.3    10      13      0.958331        0.010574         0.01069                     0.97989 0.00462172       0.00495179
-0.3    -0.2    10      13      0.857943        0.0293859        0.0297051                   0.868496        0.0218773        0.0230105
-0.2    0.2     10      13      0.947646        0.015527         0.0156362                   0.966026        0.00818821       0.00909671
0.2     0.3     10      13      0.870511        0.0528163        0.0338317                   0.882553        0.0256307        0.0258486
0.3     0.8     10      13      0.93855 0.00992545       0.0100725                           0.971466        0.00545135       0.00588552
0.8     1.2     10      13      0.926634        0.0080156        0.00815995                  0.965528        0.00517752       0.00545235
1.2     1.6     10      13      0.970119        0.00688763       0.00701026                  0.979642        0.00401386       0.00424001
1.6     2.1     10      13      0.963866        0.007277         0.00724182                  0.963313        0.00444462       0.00464436
2.1     2.4     10      13      0.886328        0.0112116        0.0112734                   0.940591        0.00700388       0.00730129
-2.4    -2.1    13      16      0.914909        0.00722233       0.00732216                  0.945333        0.00537993       0.0055782
-2.1    -1.6    13      16      0.958353        0.00416042       0.00424079                  0.980876        0.00267052       0.00281635
-1.6    -1.2    13      16      0.970064        0.0038787        0.00398147                  0.984233        0.00258829       0.00275609
-1.2    -0.8    13      16      0.93393 0.00485966       0.00496745                          0.957531        0.00356148       0.00371568
-0.8    -0.3    13      16      0.96664 0.00524292       0.005343                            0.967485        0.00290471       0.00290471
-0.3    -0.2    13      16      0.882388        0.0166651        0.0170076                   0.90712 0.0117559        0.0124295
-0.2    0.2     13      16      0.950656        0.00730726       0.00744351                  0.965003        0.00487659       0.00514671
0.2     0.3     13      16      0.854964        0.016082         0.0165147                   0.87722 0.0419044        0.0143344
0.3     0.8     13      16      0.962928        0.00503601       0.00513086                  0.977256        0.00296258       0.00311265
0.8     1.2     13      16      0.931148        0.00494798       0.00504259                  0.964153        0.00357017       0.00371528
1.2     1.6     13      16      0.969699        0.00427672       0.00438866                  0.987421        0.00251137       0.00268177
1.6     2.1     13      16      0.958915        0.00451979       0.00460039                  0.977362        0.00290997       0.00306633
2.1     2.4     13      16      0.898138        0.00733722       0.00745315                  0.949966        0.00566511       0.00589998
-2.4    -2.1    16      20      0.91332 0.00445826       0.00450491                          0.944711        0.00365928       0.00376184
-2.1    -1.6    16      20      0.964603        0.00225929       0.00229988                  0.982281        0.00166142       0.00173375
-1.6    -1.2    16      20      0.978815        0.00207558       0.00212342                  0.987355        0.00161619       0.00170264
-1.2    -0.8    16      20      0.934359        0.00286779       0.00291455                  0.968323        0.00217525       0.00223943
-0.8    -0.3    16      20      0.95969 0.00251671       0.00255812                          0.983208        0.00141908       0.00148025
-0.3    -0.2    16      20      0.853229        0.00888451       0.0090503                   0.887017        0.00719341       0.00747748
-0.2    0.2     16      20      0.949951        0.0035036        0.00356315                  0.977646        0.00217956       0.00227373
0.2     0.3     16      20      0.838596        0.00922928       0.00934905                  0.89322 0.00818055       0.00839692
0.3     0.8     16      20      0.969393        0.00234995       0.00239274                  0.98407 0.00149942       0.00156863
0.8     1.2     16      20      0.943882        0.00281024       0.00285739                  0.961352        0.0022151        0.0022151
1.2     1.6     16      20      0.976402        0.00221492       0.00226324                  0.988603        0.00148827       0.0015664
1.6     2.1     16      20      0.969888        0.00231613       0.00235646                  0.981767        0.00167883       0.00175201
2.1     2.4     16      20      0.91342 0.00447206       0.00452333                          0.950791        0.00340312       0.00353863
-2.4    -2.1    20      25      0.920436        0.00268373       0.00272368                  0.961677        0.00208513       0.00213612
-2.1    -1.6    20      25      0.968628        0.00130438       0.00133589                  0.987613        0.000896022      0.00092529
-1.6    -1.2    20      25      0.981818        0.001107         0.00113317                  0.99131 0.000855959      0.000887414
-1.2    -0.8    20      25      0.943272        0.00164199       0.00165512                  0.972481        0.00140081       0.00149586
-0.8    -0.3    20      25      0.964516        0.00126442       0.00127083                  0.986688        0.000802695      0.000825712
-0.3    -0.2    20      25      0.862234        0.0045252        0.00458658                  0.897939        0.004211         0.00421996
-0.2    0.2     20      25      0.951745        0.00160386       0.00162066                  0.976089        0.0011846        0.00120438
0.2     0.3     20      25      0.853467        0.00471376       0.00477023                  0.886538        0.00446602       0.00456631
0.3     0.8     20      25      0.967867        0.00121362       0.00122589                  0.985479        0.000824182      0.000847413
0.8     1.2     20      25      0.946158        0.00160303       0.00162711                  0.972862        0.00134142       0.00138186
1.2     1.6     20      25      0.979147        0.0012249        0.00125348                  0.990706        0.000898345      0.00093633
1.6     2.1     20      25      0.975459        0.00121934       0.00124109                  0.98684 0.00092179       0.000953572
2.1     2.4     20      25      0.930622        0.00257974       0.00261405                  0.964454        0.00198028       0.00203072
-2.4    -2.1    25      30      0.92606 0.00206301       0.0020797                           0.959667        0.00171122       0.00174723
-2.1    -1.6    25      30      0.971034        0.00094989       0.000969251                 0.988205        0.000683636      0.000701425
-1.6    -1.2    25      30      0.985378        0.000751446      0.000764998                 0.993647        0.000590043      0.000611911
-1.2    -0.8    25      30      0.943389        0.00122179       0.00123313                  0.974159        0.00156613       0.000991273
-0.8    -0.3    25      30      0.967431        0.000829714      0.000846723                 0.987073        0.00057477       0.000589945
-0.3    -0.2    25      30      0.860693        0.00306837       0.00310315                  0.907257        0.00287613       0.00289558
-0.2    0.2     25      30      0.953054        0.000965656      0.000973442                 0.977782        0.00110096       0.000834257
0.2     0.3     25      30      0.852771        0.00342871       0.00376774                  0.891319        0.00298444       0.00299969
0.3     0.8     25      30      0.971288        0.00078929       0.000800987                 0.987107        0.000604493      0.00064462
0.8     1.2     25      30      0.944408        0.00121037       0.00121646                  0.972566        0.0010382        0.0010464
1.2     1.6     25      30      0.981464        0.000839376      0.00085425                  0.992041        0.000646601      0.000666513
1.6     2.1     25      30      0.973784        0.000928607      0.000939886                 0.988325        0.000673636      0.000697419
2.1     2.4     25      30      0.927147        0.00204665       0.00206347                  0.964538        0.00157507       0.00161063
-2.4    -2.1    30      40      0.925792        0.00111898       0.00111682                  0.961959        0.000931728      0.000935227
-2.1    -1.6    30      40      0.970854        0.000511619      0.000514571                 0.988029        0.000376911      0.000379807
-1.6    -1.2    30      40      0.984866        0.000387393      0.000392169                 0.992867        0.000312261      0.000309916
-1.2    -0.8    30      40      0.941938        0.000614811      0.000611063                 0.974066        0.000482352      0.000484144
