-2.500	-2.100	0.000	20.000	0.001	0.002	0.003
-2.500	-2.100	20.000	23.000	0.002	0.004	0.005
-2.500	-2.100	23.000	24.000	0.021	0.019	0.018
-2.500	-2.100	24.000	25.000	0.095	0.043	0.038
-2.500	-2.100	25.000	26.000	0.328	0.086	0.075
-2.500	-2.100	26.000	30.000	0.685	0.028	0.012
-2.500	-2.100	30.000	35.000	0.865	0.011	0.006
-2.500	-2.100	35.000	40.000	0.898	0.009	0.015
-2.500	-2.100	40.000	45.000	0.928	0.003	0.010
-2.500	-2.100	45.000	50.000	0.939	0.006	0.004
-2.500	-2.100	50.000	60.000	0.943	0.007	0.014
-2.500	-2.100	60.000	100.000	0.948	0.013	0.012
-2.500	-2.100	100.000	200.000	0.948	0.073	0.028
-2.100	-1.570	0.000	20.000	0.001	0.001	0.001
-2.100	-1.570	20.000	23.000	0.007	0.003	0.003
-2.100	-1.570	23.000	24.000	0.090	0.012	0.017
-2.100	-1.570	24.000	25.000	0.273	0.030	0.022
-2.100	-1.570	25.000	26.000	0.591	0.017	0.020
-2.100	-1.570	26.000	30.000	0.887	0.006	0.006
-2.100	-1.570	30.000	35.000	0.932	0.002	0.004
-2.100	-1.570	35.000	40.000	0.939	0.002	0.003
-2.100	-1.570	40.000	45.000	0.945	0.001	0.001
-2.100	-1.570	45.000	50.000	0.952	0.002	0.005
-2.100	-1.570	50.000	60.000	0.953	0.004	0.007
-2.100	-1.570	60.000	100.000	0.959	0.006	0.011
-2.100	-1.570	100.000	200.000	0.948	0.019	0.015
-1.570	-1.440	0.000	20.000	0.003	0.023	0.023
-1.570	-1.440	20.000	23.000	0.119	0.040	0.027
-1.570	-1.440	23.000	24.000	0.264	0.100	0.050
-1.570	-1.440	24.000	25.000	0.579	0.100	0.051
-1.570	-1.440	25.000	26.000	0.718	0.077	0.055
-1.570	-1.440	26.000	30.000	0.857	0.022	0.018
-1.570	-1.440	30.000	35.000	0.908	0.016	0.010
-1.570	-1.440	35.000	40.000	0.918	0.006	0.005
-1.570	-1.440	40.000	45.000	0.917	0.007	0.006
-1.570	-1.440	45.000	50.000	0.917	0.011	0.008
-1.570	-1.440	50.000	60.000	0.907	0.012	0.019
-1.570	-1.440	60.000	100.000	0.939	0.017	0.028
-1.570	-1.440	100.000	200.000	0.854	0.089	0.060
-1.440	-0.800	0.000	20.000	0.001	0.001	0.001
-1.440	-0.800	20.000	23.000	0.011	0.002	0.002
-1.440	-0.800	23.000	24.000	0.207	0.019	0.018
-1.440	-0.800	24.000	25.000	0.571	0.052	0.031
