-2.500	-2.100	0.000	30.000	0.000	0.001	0.002
-2.500	-2.100	30.000	35.000	0.005	0.002	0.002
-2.500	-2.100	35.000	36.000	0.044	0.008	0.019
-2.500	-2.100	36.000	37.000	0.105	0.025	0.017
-2.500	-2.100	37.000	38.000	0.267	0.023	0.016
-2.500	-2.100	38.000	40.000	0.410	0.017	0.024
-2.500	-2.100	40.000	42.000	0.629	0.010	0.037
-2.500	-2.100	42.000	45.000	0.719	0.009	0.010
-2.500	-2.100	45.000	50.000	0.769	0.010	0.020
-2.500	-2.100	50.000	65.000	0.788	0.010	0.020
-2.500	-2.100	65.000	70.000	0.814	0.059	0.058
-2.500	-2.100	70.000	80.000	0.866	0.060	0.034
-2.500	-2.100	80.000	100.000	0.863	0.065	0.042
-2.500	-2.100	100.000	200.000	0.897	0.074	0.129
-2.100	-1.570	0.000	30.000	0.000	0.001	0.001
-2.100	-1.570	30.000	35.000	0.007	0.001	0.002
-2.100	-1.570	35.000	36.000	0.066	0.008	0.007
-2.100	-1.570	36.000	37.000	0.197	0.016	0.014
-2.100	-1.570	37.000	38.000	0.383	0.013	0.009
-2.100	-1.570	38.000	40.000	0.628	0.012	0.007
-2.100	-1.570	40.000	42.000	0.765	0.007	0.006
-2.100	-1.570	42.000	45.000	0.820	0.004	0.005
-2.100	-1.570	45.000	50.000	0.843	0.004	0.004
-2.100	-1.570	50.000	65.000	0.855	0.010	0.013
-2.100	-1.570	65.000	70.000	0.866	0.018	0.022
-2.100	-1.570	70.000	80.000	0.884	0.018	0.014
-2.100	-1.570	80.000	100.000	0.892	0.032	0.022
-2.100	-1.570	100.000	200.000	0.845	0.058	0.039
-1.570	-1.440	0.000	30.000	0.014	0.006	0.005
-1.570	-1.440	30.000	35.000	0.100	0.010	0.010
-1.570	-1.440	35.000	36.000	0.272	0.057	0.053
-1.570	-1.440	36.000	37.000	0.384	0.025	0.038
-1.570	-1.440	37.000	38.000	0.494	0.045	0.027
-1.570	-1.440	38.000	40.000	0.649	0.018	0.016
-1.570	-1.440	40.000	42.000	0.758	0.029	0.037
-1.570	-1.440	42.000	45.000	0.797	0.017	0.026
-1.570	-1.440	45.000	50.000	0.823	0.014	0.013
-1.570	-1.440	50.000	65.000	0.813	0.019	0.014
-1.570	-1.440	65.000	70.000	0.814	0.081	0.049
-1.570	-1.440	70.000	80.000	0.859	0.049	0.036
-1.570	-1.440	80.000	100.000	0.891	0.078	0.047
-1.570	-1.440	100.000	200.000	0.780	0.107	0.075
-1.440	-0.800	0.000	30.000	0.001	0.000	0.001
-1.440	-0.800	30.000	35.000	0.006	0.001	0.001
-1.440	-0.800	35.000	36.000	0.111	0.005	0.012
-1.440	-0.800	36.000	37.000	0.370	0.014	0.015
-1.440	-0.800	37.000	38.000	0.615	0.013	0.008
-1.440	-0.800	38.000	40.000	0.757	0.006	0.007
-1.440	-0.800	40.000	42.000	0.804	0.005	0.007
-1.440	-0.800	42.000	45.000	0.837	0.003	0.002
-1.440	-0.800	45.000	50.000	0.852	0.003	0.008
-1.440	-0.800	50.000	65.000	0.867	0.004	0.004
-1.440	-0.800	65.000	70.000	0.905	0.022	0.027
-1.440	-0.800	70.000	80.000	0.888	0.018	0.010
-1.440	-0.800	80.000	100.000	0.897	0.021	0.016
-1.440	-0.800	100.000	200.000	0.913	0.016	0.014
-0.800	0.000	0.000	30.000	0.000	0.000	0.000
-0.800	0.000	30.000	35.000	0.005	0.001	0.002
-0.800	0.000	35.000	36.000	0.142	0.006	0.006
-0.800	0.000	36.000	37.000	0.513	0.007	0.005
-0.800	0.000	37.000	38.000	0.731	0.009	0.005
-0.800	0.000	38.000	40.000	0.804	0.005	0.006
-0.800	0.000	40.000	42.000	0.823	0.002	0.002
-0.800	0.000	42.000	45.000	0.834	0.002	0.003
-0.800	0.000	45.000	50.000	0.846	0.002	0.005
-0.800	0.000	50.000	65.000	0.860	0.004	0.007
-0.800	0.000	65.000	70.000	0.867	0.017	0.014
-0.800	0.000	70.000	80.000	0.869	0.011	0.010
-0.800	0.000	80.000	100.000	0.892	0.011	0.016
-0.800	0.000	100.000	200.000	0.899	0.011	0.009
0.000	0.800	0.000	30.000	0.000	0.000	0.000
0.000	0.800	30.000	35.000	0.004	0.000	0.000
0.000	0.800	35.000	36.000	0.124	0.007	0.009
0.000	0.800	36.000	37.000	0.485	0.012	0.006
0.000	0.800	37.000	38.000	0.734	0.005	0.009
0.000	0.800	38.000	40.000	0.786	0.005	0.008
0.000	0.800	40.000	42.000	0.797	0.004	0.005
0.000	0.800	42.000	45.000	0.811	0.004	0.003
0.000	0.800	45.000	50.000	0.821	0.003	0.002
0.000	0.800	50.000	65.000	0.841	0.008	0.007
0.000	0.800	65.000	70.000	0.847	0.016	0.011
0.000	0.800	70.000	80.000	0.843	0.021	0.019
0.000	0.800	80.000	100.000	0.866	0.016	0.018
0.000	0.800	100.000	200.000	0.875	0.019	0.010
0.800	1.440	0.000	30.000	0.000	0.000	0.000
0.800	1.440	30.000	35.000	0.004	0.000	0.000
0.800	1.440	35.000	36.000	0.083	0.011	0.015
0.800	1.440	36.000	37.000	0.297	0.010	0.009
0.800	1.440	37.000	38.000	0.546	0.009	0.010
0.800	1.440	38.000	40.000	0.707	0.006	0.006
0.800	1.440	40.000	42.000	0.773	0.004	0.004
0.800	1.440	42.000	45.000	0.807	0.002	0.005
0.800	1.440	45.000	50.000	0.830	0.004	0.003
0.800	1.440	50.000	65.000	0.845	0.006	0.011
0.800	1.440	65.000	70.000	0.854	0.022	0.013
0.800	1.440	70.000	80.000	0.853	0.016	0.023
0.800	1.440	80.000	100.000	0.889	0.024	0.020
0.800	1.440	100.000	200.000	0.897	0.017	0.011
1.440	1.570	0.000	30.000	0.005	0.003	0.004
1.440	1.570	30.000	35.000	0.075	0.015	0.009
1.440	1.570	35.000	36.000	0.179	0.032	0.028
1.440	1.570	36.000	37.000	0.319	0.029	0.039
1.440	1.570	37.000	38.000	0.503	0.032	0.032
1.440	1.570	38.000	40.000	0.624	0.024	0.019
1.440	1.570	40.000	42.000	0.730	0.013	0.025
1.440	1.570	42.000	45.000	0.786	0.010	0.014
1.440	1.570	45.000	50.000	0.814	0.013	0.011
1.440	1.570	50.000	65.000	0.829	0.012	0.020
1.440	1.570	65.000	70.000	0.855	0.070	0.042
1.440	1.570	70.000	80.000	0.862	0.076	0.106
1.440	1.570	80.000	100.000	0.866	0.061	0.061
1.440	1.570	100.000	200.000	0.703	0.090	0.072
1.570	2.100	0.000	30.000	0.001	0.000	0.000
1.570	2.100	30.000	35.000	0.004	0.001	0.002
1.570	2.100	35.000	36.000	0.030	0.004	0.005
1.570	2.100	36.000	37.000	0.103	0.007	0.013
1.570	2.100	37.000	38.000	0.229	0.012	0.011
1.570	2.100	38.000	40.000	0.494	0.013	0.011
1.570	2.100	40.000	42.000	0.721	0.004	0.014
1.570	2.100	42.000	45.000	0.803	0.004	0.005
1.570	2.100	45.000	50.000	0.832	0.003	0.010
1.570	2.100	50.000	65.000	0.852	0.005	0.005
1.570	2.100	65.000	70.000	0.873	0.027	0.032
1.570	2.100	70.000	80.000	0.886	0.020	0.016
1.570	2.100	80.000	100.000	0.900	0.029	0.018
1.570	2.100	100.000	200.000	0.884	0.032	0.051
2.100	2.500	0.000	30.000	0.002	0.001	0.001
2.100	2.500	30.000	35.000	0.005	0.002	0.002
2.100	2.500	35.000	36.000	0.034	0.007	0.009
2.100	2.500	36.000	37.000	0.071	0.013	0.023
2.100	2.500	37.000	38.000	0.133	0.027	0.024
2.100	2.500	38.000	40.000	0.294	0.022	0.032
2.100	2.500	40.000	42.000	0.517	0.013	0.014
2.100	2.500	42.000	45.000	0.662	0.021	0.016
2.100	2.500	45.000	50.000	0.708	0.012	0.022
2.100	2.500	50.000	65.000	0.763	0.011	0.027
2.100	2.500	65.000	70.000	0.730	0.055	0.073
2.100	2.500	70.000	80.000	0.806	0.047	0.048
2.100	2.500	80.000	100.000	0.915	0.134	0.061
2.100	2.500	100.000	200.000	0.778	0.115	0.103
2.100	2.500	100.000	200.000	0.778	0.115	0.103
