-2.400	-2.100	0.000	10.000	0.828	0.040	0.034	0.062	0.025
-2.400	-2.100	10.000	13.000	0.853	0.018	0.016	0.015	0.008
-2.400	-2.100	13.000	16.000	0.847	0.014	0.013	0.017	0.036
-2.400	-2.100	16.000	20.000	0.867	0.009	0.009	0.018	0.004
-2.400	-2.100	20.000	25.000	0.844	0.007	0.006	0.017	0.025
-2.400	-2.100	25.000	30.000	0.866	0.004	0.004	0.004	0.008
-2.400	-2.100	30.000	40.000	0.868	0.002	0.002	0.005	0.008
-2.400	-2.100	40.000	60.000	0.866	0.002	0.002	0.004	0.003
-2.400	-2.100	60.000	100.000	0.855	0.008	0.007	0.008	0.009
-2.400	-2.100	100.000	200.000	0.843	0.030	0.026	0.024	0.027
-2.100	-1.600	0.000	10.000	0.851	0.028	0.025	0.046	0.031
-2.100	-1.600	10.000	13.000	0.844	0.013	0.012	0.015	0.023
-2.100	-1.600	13.000	16.000	0.860	0.010	0.009	0.014	0.011
-2.100	-1.600	16.000	20.000	0.875	0.006	0.006	0.001	0.004
-2.100	-1.600	20.000	25.000	0.869	0.004	0.004	0.003	0.003
-2.100	-1.600	25.000	30.000	0.879	0.003	0.003	0.005	0.009
-2.100	-1.600	30.000	40.000	0.874	0.001	0.001	0.001	0.001
-2.100	-1.600	40.000	60.000	0.873	0.001	0.001	0.002	0.001
-2.100	-1.600	60.000	100.000	0.858	0.005	0.005	0.018	0.007
-2.100	-1.600	100.000	200.000	0.841	0.017	0.016	0.018	0.012
-1.600	-1.200	0.000	10.000	0.902	0.029	0.024	0.027	0.014
-1.600	-1.200	10.000	13.000	0.931	0.011	0.010	0.024	0.004
-1.600	-1.200	13.000	16.000	0.939	0.008	0.008	0.010	0.010
-1.600	-1.200	16.000	20.000	0.936	0.006	0.005	0.005	0.006
-1.600	-1.200	20.000	25.000	0.946	0.003	0.003	0.004	0.005
-1.600	-1.200	25.000	30.000	0.947	0.002	0.002	0.001	0.002
-1.600	-1.200	30.000	40.000	0.940	0.001	0.001	0.001	0.001
-1.600	-1.200	40.000	60.000	0.931	0.001	0.001	0.002	0.001
-1.600	-1.200	60.000	100.000	0.887	0.004	0.004	0.009	0.002
-1.600	-1.200	100.000	200.000	0.788	0.018	0.017	0.032	0.012
-1.200	-0.800	0.000	10.000	0.868	0.034	0.029	0.025	0.018
-1.200	-0.800	10.000	13.000	0.939	0.011	0.010	0.012	0.005
-1.200	-0.800	13.000	16.000	0.939	0.008	0.008	0.006	0.006
-1.200	-0.800	16.000	20.000	0.941	0.005	0.005	0.004	0.004
-1.200	-0.800	20.000	25.000	0.941	0.003	0.003	0.001	0.001
-1.200	-0.800	25.000	30.000	0.938	0.002	0.002	0.004	0.002
-1.200	-0.800	30.000	40.000	0.936	0.001	0.001	0.001	0.001
-1.200	-0.800	40.000	60.000	0.937	0.001	0.001	0.001	0.001
-1.200	-0.800	60.000	100.000	0.933	0.003	0.003	0.003	0.003
-1.200	-0.800	100.000	200.000	0.934	0.010	0.009	0.010	0.018
-0.800	-0.300	0.000	10.000	0.766	0.052	0.046	0.016	0.116
-0.800	-0.300	10.000	13.000	0.933	0.011	0.010	0.005	0.013
-0.800	-0.300	13.000	16.000	0.942	0.007	0.007	0.006	0.002
-0.800	-0.300	16.000	20.000	0.940	0.004	0.004	0.002	0.006
-0.800	-0.300	20.000	25.000	0.948	0.003	0.002	0.004	0.004
-0.800	-0.300	25.000	30.000	0.950	0.002	0.002	0.002	0.002
-0.800	-0.300	30.000	40.000	0.946	0.001	0.001	0.000	0.001
