-2.40	-2.10	0.0	10.0		0.000	0.000	0.010
-2.40	-2.10	10.0	11.0		0.000	0.000	0.060
-2.40	-2.10	11.0	12.0		0.070	0.038	0.063
-2.40	-2.10	12.0	13.0		0.644	0.085	0.078
-2.40	-2.10	13.0	14.0		0.900	0.062	0.043
-2.40	-2.10	14.0	15.0		0.862	0.061	0.046
-2.40	-2.10	15.0	20.0		0.909	0.016	0.014
-2.40	-2.10	20.0	25.0		0.901	0.013	0.011
-2.40	-2.10	25.0	30.0		0.914	0.008	0.008
-2.40	-2.10	30.0	35.0		0.902	0.007	0.006
-2.40	-2.10	35.0	40.0		0.907	0.006	0.005
-2.40	-2.10	40.0	45.0		0.910	0.005	0.005
-2.40	-2.10	45.0	50.0		0.917	0.006	0.006
-2.40	-2.10	50.0	60.0		0.921	0.008	0.008
-2.40	-2.10	60.0	100.0		0.889	0.016	0.014
-2.40	-2.10	100.0	200.0		0.880	0.065	0.047
-2.10	-1.60	0.0	10.0		0.000	0.000	0.007
-2.10	-1.60	10.0	11.0		0.000	0.000	0.041
-2.10	-1.60	11.0	12.0		0.000	0.000	0.033
-2.10	-1.60	12.0	13.0		0.822	0.056	0.046
-2.10	-1.60	13.0	14.0		0.915	0.039	0.029
-2.10	-1.60	14.0	15.0		0.862	0.045	0.036
-2.10	-1.60	15.0	20.0		0.916	0.012	0.010
-2.10	-1.60	20.0	25.0		0.908	0.008	0.008
-2.10	-1.60	25.0	30.0		0.901	0.006	0.006
-2.10	-1.60	30.0	35.0		0.908	0.005	0.004
-2.10	-1.60	35.0	40.0		0.895	0.004	0.004
-2.10	-1.60	40.0	45.0		0.894	0.004	0.003
-2.10	-1.60	45.0	50.0		0.895	0.004	0.004
-2.10	-1.60	50.0	60.0		0.901	0.006	0.005
-2.10	-1.60	60.0	100.0		0.902	0.009	0.009
-2.10	-1.60	100.0	200.0		0.888	0.039	0.031
-1.60	-1.20	0.0	10.0		0.000	0.000	0.013
-1.60	-1.20	10.0	11.0		0.038	0.032	0.083
-1.60	-1.20	11.0	12.0		0.064	0.035	0.058
-1.60	-1.20	12.0	13.0		0.842	0.064	0.050
-1.60	-1.20	13.0	14.0		0.926	0.055	0.035
-1.60	-1.20	14.0	15.0		0.891	0.054	0.039
-1.60	-1.20	15.0	20.0		0.915	0.014	0.012
-1.60	-1.20	20.0	25.0		0.900	0.010	0.010
-1.60	-1.20	25.0	30.0		0.901	0.007	0.007
-1.60	-1.20	30.0	35.0		0.910	0.005	0.005
-1.60	-1.20	35.0	40.0		0.909	0.004	0.004
-1.60	-1.20	40.0	45.0		0.914	0.003	0.003
-1.60	-1.20	45.0	50.0		0.924	0.004	0.004
-1.60	-1.20	50.0	60.0		0.932	0.005	0.004
-1.60	-1.20	60.0	100.0		0.936	0.008	0.007
-1.60	-1.20	100.0	200.0		0.945	0.026	0.019
-1.20	-0.80	0.0	10.0		0.000	0.000	0.020
-1.20	-0.80	10.0	11.0		0.000	0.000	0.071
-1.20	-0.80	11.0	12.0		0.077	0.042	0.069
-1.20	-0.80	12.0	13.0		0.909	0.066	0.043
-1.20	-0.80	13.0	14.0		0.923	0.057	0.036
-1.20	-0.80	14.0	15.0		0.879	0.054	0.041
-1.20	-0.80	15.0	20.0		0.943	0.012	0.010
-1.20	-0.80	20.0	25.0		0.927	0.009	0.008
-1.20	-0.80	25.0	30.0		0.942	0.005	0.005
-1.20	-0.80	30.0	35.0		0.934	0.004	0.004
-1.20	-0.80	35.0	40.0		0.936	0.003	0.003
-1.20	-0.80	40.0	45.0		0.941	0.002	0.002
-1.20	-0.80	45.0	50.0		0.935	0.003	0.003
-1.20	-0.80	50.0	60.0		0.934	0.004	0.004
-1.20	-0.80	60.0	100.0		0.928	0.008	0.007
-1.20	-0.80	100.0	200.0		0.953	0.024	0.017
-0.80	-0.30	0.0	10.0		0.000	0.000	0.028
-0.80	-0.30	10.0	11.0		0.000	0.000	0.047
-0.80	-0.30	11.0	12.0		0.020	0.017	0.045
-0.80	-0.30	12.0	13.0		0.970	0.038	0.019
-0.80	-0.30	13.0	14.0		0.974	0.033	0.017
-0.80	-0.30	14.0	15.0		0.929	0.040	0.028
-0.80	-0.30	15.0	20.0		0.957	0.008	0.007
-0.80	-0.30	20.0	25.0		0.971	0.004	0.004
-0.80	-0.30	25.0	30.0		0.962	0.003	0.003
-0.80	-0.30	30.0	35.0		0.969	0.002	0.002
-0.80	-0.30	35.0	40.0		0.966	0.002	0.002
-0.80	-0.30	40.0	45.0		0.966	0.002	0.002
-0.80	-0.30	45.0	50.0		0.965	0.002	0.002
-0.80	-0.30	50.0	60.0		0.964	0.003	0.003
-0.80	-0.30	60.0	100.0		0.964	0.005	0.004
-0.80	-0.30	100.0	200.0		0.932	0.022	0.017
-0.30	-0.20	0.0	10.0		0.000	0.000	0.264
-0.30	-0.20	10.0	11.0		0.000	0.000	0.459
-0.30	-0.20	11.0	12.0		0.000	0.000	0.308
-0.30	-0.20	12.0	13.0		1.000	0.185	0.000
-0.30	-0.20	13.0	14.0		1.000	0.168	0.000
-0.30	-0.20	14.0	15.0		0.833	0.179	0.107
-0.30	-0.20	15.0	20.0		0.890	0.030	0.025
-0.30	-0.20	20.0	25.0		0.900	0.018	0.016
-0.30	-0.20	25.0	30.0		0.897	0.013	0.011
-0.30	-0.20	30.0	35.0		0.895	0.009	0.009
-0.30	-0.20	35.0	40.0		0.895	0.007	0.007
-0.30	-0.20	40.0	45.0		0.895	0.007	0.006
-0.30	-0.20	45.0	50.0		0.887	0.009	0.008
-0.30	-0.20	50.0	60.0		0.890	0.012	0.011
-0.30	-0.20	60.0	100.0		0.892	0.018	0.016
-0.30	-0.20	100.0	200.0		0.884	0.071	0.049
-0.20	0.20	0.0	10.0		0.000	0.000	0.068
-0.20	0.20	10.0	11.0		0.000	0.000	0.080
-0.20	0.20	11.0	12.0		0.000	0.000	0.071
-0.20	0.20	12.0	13.0		0.939	0.074	0.039
-0.20	0.20	13.0	14.0		0.925	0.068	0.041
-0.20	0.20	14.0	15.0		0.984	0.035	0.013
-0.20	0.20	15.0	20.0		0.965	0.009	0.007
-0.20	0.20	20.0	25.0		0.953	0.006	0.005
-0.20	0.20	25.0	30.0		0.967	0.003	0.003
-0.20	0.20	30.0	35.0		0.964	0.003	0.002
-0.20	0.20	35.0	40.0		0.962	0.002	0.002
-0.20	0.20	40.0	45.0		0.961	0.002	0.002
-0.20	0.20	45.0	50.0		0.961	0.002	0.002
-0.20	0.20	50.0	60.0		0.959	0.003	0.003
-0.20	0.20	60.0	100.0		0.946	0.006	0.006
-0.20	0.20	100.0	200.0		0.940	0.022	0.017
0.20	0.30	0.0	10.0		0.000	0.000	0.206
0.20	0.30	10.0	11.0		0.000	0.000	0.369
0.20	0.30	11.0	12.0		0.000	0.000	0.308
0.20	0.30	12.0	13.0		0.846	0.168	0.099
0.20	0.30	13.0	14.0		0.818	0.191	0.117
0.20	0.30	14.0	15.0		0.818	0.191	0.117
0.20	0.30	15.0	20.0		0.933	0.027	0.020
0.20	0.30	20.0	25.0		0.906	0.018	0.015
0.20	0.30	25.0	30.0		0.896	0.013	0.011
0.20	0.30	30.0	35.0		0.899	0.009	0.008
0.20	0.30	35.0	40.0		0.903	0.007	0.007
0.20	0.30	40.0	45.0		0.887	0.007	0.007
0.20	0.30	45.0	50.0		0.897	0.009	0.008
