-2.400	-2.100	0.000	6.000	0.000	0.000	0.005
-2.400	-2.100	6.000	7.000	0.000	0.000	0.031
-2.400	-2.100	7.000	8.000	0.098	0.042	0.116
-2.400	-2.100	8.000	9.000	0.779	0.100	0.063
-2.400	-2.100	9.000	10.000	0.828	0.226	0.144
-2.400	-2.100	10.000	12.000	0.892	0.072	0.074
-2.400	-2.100	12.000	15.000	0.914	0.090	0.024
-2.400	-2.100	15.000	20.000	0.927	0.028	0.030
-2.400	-2.100	20.000	25.000	0.928	0.020	0.011
-2.400	-2.100	25.000	30.000	0.925	0.016	0.013
-2.400	-2.100	30.000	35.000	0.929	0.011	0.006
-2.400	-2.100	35.000	40.000	0.931	0.013	0.004
-2.400	-2.100	40.000	45.000	0.933	0.008	0.006
-2.400	-2.100	45.000	50.000	0.936	0.007	0.004
-2.400	-2.100	50.000	60.000	0.943	0.006	0.010
-2.400	-2.100	60.000	100.000	0.941	0.026	0.031
-2.400	-2.100	100.000	200.000	0.925	0.090	0.075
-2.100	-1.600	0.000	6.000	0.000	0.000	0.005
-2.100	-1.600	6.000	7.000	0.000	0.000	0.022
-2.100	-1.600	7.000	8.000	0.043	0.020	0.069
-2.100	-1.600	8.000	9.000	0.907	0.137	0.071
-2.100	-1.600	9.000	10.000	0.925	0.083	0.025
-2.100	-1.600	10.000	12.000	0.929	0.035	0.050
-2.100	-1.600	12.000	15.000	0.929	0.043	0.010
-2.100	-1.600	15.000	20.000	0.921	0.020	0.019
-2.100	-1.600	20.000	25.000	0.931	0.026	0.009
-2.100	-1.600	25.000	30.000	0.932	0.008	0.013
-2.100	-1.600	30.000	35.000	0.935	0.007	0.004
-2.100	-1.600	35.000	40.000	0.930	0.010	0.004
-2.100	-1.600	40.000	45.000	0.931	0.002	0.006
-2.100	-1.600	45.000	50.000	0.930	0.003	0.006
-2.100	-1.600	50.000	60.000	0.934	0.006	0.004
-2.100	-1.600	60.000	100.000	0.934	0.019	0.018
-2.100	-1.600	100.000	200.000	0.921	0.065	0.052
-1.600	-1.200	0.000	6.000	0.000	0.000	0.015
-1.600	-1.200	6.000	7.000	0.000	0.000	0.032
-1.600	-1.200	7.000	8.000	0.060	0.028	0.080
-1.600	-1.200	8.000	9.000	0.731	0.132	0.120
-1.600	-1.200	9.000	10.000	0.891	0.131	0.065
-1.600	-1.200	10.000	12.000	0.897	0.054	0.084
-1.600	-1.200	12.000	15.000	0.914	0.084	0.024
-1.600	-1.200	15.000	20.000	0.903	0.039	0.031
-1.600	-1.200	20.000	25.000	0.903	0.017	0.006
-1.600	-1.200	25.000	30.000	0.899	0.028	0.022
-1.600	-1.200	30.000	35.000	0.903	0.010	0.007
-1.600	-1.200	35.000	40.000	0.905	0.016	0.013
-1.600	-1.200	40.000	45.000	0.916	0.004	0.006
-1.600	-1.200	45.000	50.000	0.923	0.003	0.009
-1.600	-1.200	50.000	60.000	0.936	0.008	0.005
-1.600	-1.200	60.000	100.000	0.941	0.012	0.009
-1.600	-1.200	100.000	200.000	0.928	0.035	0.045
-1.200	-0.800	0.000	6.000	0.000	0.000	0.038
-1.200	-0.800	6.000	7.000	0.000	0.000	0.074
-1.200	-0.800	7.000	8.000	0.000	0.000	0.050
-1.200	-0.800	8.000	9.000	0.882	0.116	0.084
-1.200	-0.800	9.000	10.000	0.932	0.086	0.039
-1.200	-0.800	10.000	12.000	0.927	0.046	0.023
-1.200	-0.800	12.000	15.000	0.913	0.017	0.019
-1.200	-0.800	15.000	20.000	0.936	0.026	0.008
-1.200	-0.800	20.000	25.000	0.933	0.028	0.018
-1.200	-0.800	25.000	30.000	0.939	0.009	0.008
-1.200	-0.800	30.000	35.000	0.931	0.008	0.002
-1.200	-0.800	35.000	40.000	0.935	0.010	0.005
-1.200	-0.800	40.000	45.000	0.934	0.009	0.005
-1.200	-0.800	45.000	50.000	0.936	0.007	0.004
