#                                                                        
#   isolation efficiencies for data on the left and MC on the right                                                                       
#      MC: MG+Py8                                                                   
#                                                                        
#
# 
#    
#                                                 data                                                      MC
# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                                                eff          deff_high       deff_low
1.2     1.6     20      22      0.866444        0.00659166       0.00684215                                           0.872556        0.00844601       0.00860722
1.6     2.1     20      22      0.88024         0.00556603       0.00573604                                           0.900027        0.00667851       0.00667458
2.1     2.4     20      22      0.896475        0.00753841       0.00776691                                           0.903931        0.00768397       0.00805486
-2.4    -2.1    22      24      0.913902        0.0064044        0.00667772                                           0.926945        0.00678248       0.00655054
-2.1    -1.6    22      24      0.902077        0.00461979       0.00475042                                           0.916896        0.00601288       0.00623006
-1.6    -1.2    22      24      0.888523        0.00562126       0.00575746                                           0.901883        0.00642927       0.0065741
-1.2    -0.8    22      24      0.858743        0.00607872       0.00620913                                           0.86602 0.0073232        0.00741744
-0.8    -0.3    22      24      0.838841        0.00590582       0.00604289                                           0.860474        0.00660971       0.00675245
-0.3    0.3     22      24      0.822656        0.00577767       0.00589573                                           0.836965        0.00640112       0.00643341
0.3     0.8     22      24      0.840252        0.00567373       0.00567719                                           0.846614        0.00629555       0.00626183
0.8     1.2     22      24      0.861787        0.00602272       0.00615885                                           0.876415        0.00731462       0.00748901
1.2     1.6     22      24      0.886235        0.00571925       0.00588171                                           0.906095        0.00699381       0.00744424
1.6     2.1     22      24      0.90472         0.00475156       0.00495021                                           0.91015 0.00552403       0.00566578
2.1     2.4     22      24      0.892502        0.00615399       0.00626136                                           0.933019        0.00662111       0.00687382
-2.4    -2.1    24      26      0.928658        0.00558226       0.00575481                                           0.926255        0.00638214       0.00664213
-2.1    -1.6    24      26      0.921243        0.00425045       0.0044034                                           0.932497        0.0046629        0.00481935
-1.6    -1.2    24      26      0.913701        0.00448987       0.00466487                                           0.899642        0.00602602       0.00615077
-1.2    -0.8    24      26      0.878675        0.0052423        0.00526959                                           0.879707        0.00630423       0.00640821
-0.8    -0.3    24      26      0.863272        0.00476045       0.00488451                                           0.885443        0.0053606        0.00545005
-0.3    0.3     24      26      0.845298        0.00468485       0.00458426                                           0.865371        0.00481207       0.00485761
0.3     0.8     24      26      0.860936        0.00474947       0.00485991                                           0.866444        0.00538899       0.00544466
0.8     1.2     24      26      0.877559        0.00518198       0.00535845                                           0.893568        0.00599928       0.00620399
1.2     1.6     24      26      0.901449        0.00498745       0.00521286                                           0.911783        0.00583326       0.00595311
1.6     2.1     24      26      0.917126        0.00404685       0.00413614                                           0.928894        0.00487411       0.00500543
2.1     2.4     24      26      0.919898        0.00592307       0.00630546                                           0.934368        0.00619954       0.00647162
-2.4    -2.1    26      30      0.939391        0.0033575        0.00348558                                           0.953007        0.00373197       0.00394917
-2.1    -1.6    26      30      0.933044        0.00261442       0.00268176                                           0.939337        0.00291428       0.00296608
-1.6    -1.2    26      30      0.922707        0.00282094       0.0029091                                           0.9274  0.00348748       0.00354974
-1.2    -0.8    26      30      0.903394        0.00310406       0.00316751                                           0.908577        0.00359181       0.00361758
-0.8    -0.3    26      30      0.888385        0.00262792       0.00265193                                           0.896648        0.0030402        0.00302751
-0.3    0.3     26      30      0.882725        0.00226834       0.00228321                                           0.899602        0.00254848       0.00256038
0.3     0.8     26      30      0.892265        0.00259059       0.00260333                                           0.90268 0.00299082       0.00302189
0.8     1.2     26      30      0.905872        0.003006         0.0030301                                           0.902289        0.00377357       0.00379929
1.2     1.6     26      30      0.920418        0.0029246        0.00301974                                           0.922378        0.00351881       0.00355393
1.6     2.1     26      30      0.936437        0.0024866        0.00244439                                           0.939437        0.00312151       0.00329689
2.1     2.4     26      30      0.933556        0.00353553       0.00369377                                           0.947671        0.0037492        0.00375524
-2.4    -2.1    30      35      0.959079        0.0022213        0.00226856                                           0.963148        0.00257386       0.00268923
-2.1    -1.6    30      35      0.95514         0.00164928       0.00166737                                           0.956432        0.00194696       0.00197947
-1.6    -1.2    30      35      0.944567        0.00191642       0.0019569                                           0.942374        0.00245231       0.00249375
-1.2    -0.8    30      35      0.931085        0.00194114       0.00197114                                           0.931697        0.0023491        0.00237329
-0.8    -0.3    30      35      0.920707        0.00160682       0.00161834                                           0.92826 0.00188903       0.00190342
-0.3    0.3     30      35      0.917537        0.00142465       0.00142801                                           0.929154        0.00162546       0.00162733
0.3     0.8     30      35      0.922112        0.0016073        0.00160122                                           0.92913 0.00189485       0.001917
0.8     1.2     30      35      0.92668         0.00193569       0.00196003                                           0.932922        0.00229488       0.00230317
1.2     1.6     30      35      0.943261        0.00197632       0.00201719                                           0.947739        0.00240468       0.00244971
1.6     2.1     30      35      0.954115        0.00162055       0.00164261                                           0.957553        0.00198096       0.00200767
2.1     2.4     30      35      0.950593        0.00227657       0.0022985                                           0.964921        0.00248294       0.00256399
-2.4    -2.1    35      40      0.971662        0.00156511       0.00160392                                           0.972873        0.0019109        0.00195292
-2.1    -1.6    35      40      0.969739        0.00114173       0.00115814                                           0.972638        0.00134262       0.00136504
-1.6    -1.2    35      40      0.963653        0.00126852       0.00128315                                           0.964749        0.00158197       0.00161449
