#                                                                        
#   isolation efficiencies for data on the left and MC on the right                                                                       
#      MC: MG+Py8                                                                   
#                                                                        
#                                                        
#                                                 data                                                      MC
# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                                                eff     deff_high       deff_low
1.2     1.6     20      22      0.978833        0.00431755       0.00477223                                         0.968937        0.00352002       0.00385404
1.6     2.1     20      22      0.979803        0.00385985       0.00421566                                         0.97304 0.00261764       0.00278822
2.1     2.4     20      22      0.980151        0.00423935       0.00478664                                         0.984278        0        0
-2.4    -2.1    22      24      0.987935        0.00351281       0.00403089                                         0.983294        0.00275272       0.00290265
-2.1    -1.6    22      24      0.973326        0.00322916       0.003498                                         0.973662        0.00247527       0.0025789
-1.6    -1.2    22      24      0.968777        0.00380337       0.00412636                                         0.971108        0.00265436       0.00284709
-1.2    -0.8    22      24      0.971389        0.00464467       0.0049348                                         0.965363        0.00312797       0.00324839
-0.8    -0.3    22      24      0.970362        0.00409251       0.00437492                                         0.962097        0.00268337       0.00277227
-0.3    0.3     22      24      0.958405        0.00435357       0.00455405                                         0.956594        0.00284003       0.00288361
0.3     0.8     22      24      0.958954        0.00380839       0.00398413                                         0.9573  0.00407929       0.00334114
0.8     1.2     22      24      0.960771        0.00421343       0.00450737                                         0.967689        0.00302285       0.00312652
1.2     1.6     22      24      0.972802        0.00423417       0.00456708                                         0.97189 0.0026113        0.00278288
1.6     2.1     22      24      0.987463        0.00292936       0.00320389                                         0.980436        0.00241926       0.00255873
2.1     2.4     22      24      0.981628        0.0047535        0.00553684                                         0.974294        0.0030783        0.00333664
-2.4    -2.1    24      26      0.993095        0.00325795       0.00373397                                         0.985254        0.00227686       0.00249193
-2.1    -1.6    24      26      0.981569        0.00250789       0.0027255                                         0.984032        0.00168358       0.00180608
-1.6    -1.2    24      26      0.980123        0.00323937       0.0035146                                         0.981362        0.00228519       0.00231878
-1.2    -0.8    24      26      0.975511        0.00364506       0.00393451                                         0.968979        0.00252077       0.00265829
-0.8    -0.3    24      26      0.971928        0.00340822       0.00359008                                         0.968604        0.00269993       0.00258676
-0.3    0.3     24      26      0.971277        0.00311803       0.0032866                                         0.966924        0.00192632       0.0019913
0.3     0.8     24      26      0.973639        0.00333356       0.00352084                                         0.974994        0.00247417       0.00271807
0.8     1.2     24      26      0.972926        0.00362705       0.00385787                                         0.970326        0.00266413       0.00266413
1.2     1.6     24      26      0.980022        0.00360841       0.00392916                                         0.973068        0.00243353       0.00257081
1.6     2.1     24      26      0.982367        0.00304024       0.00333621                                         0.983879        0.0020867        0.0021989
2.1     2.4     24      26      0.987492        0.00311573       0.00349605                                         0.984349        0.00217707       0.0023956
-2.4    -2.1    26      30      0.989093        0.00167175       0.00185893                                         0.992196        0.00134077       0.00145746
-2.1    -1.6    26      30      0.987561        0.00165557       0.0017581                                         0.98573 0.00106228       0.00110614
-1.6    -1.2    26      30      0.986315        0.00182711       0.00194                                         0.98184 0.00129316       0.00134248
-1.2    -0.8    26      30      0.977023        0.00210941       0.00210941                                         0.977512        0.00138571       0.0014323
-0.8    -0.3    26      30      0.977947        0.00183062       0.00196921                                         0.97904 0.00108143       0.0011153
-0.3    0.3     26      30      0.980939        0.00151101       0.00157515                                         0.978222        0.000997108      0.000999024
0.3     0.8     26      30      0.977925        0.00163272       0.00164597                                         0.977561        0.00120132       0.00122338
0.8     1.2     26      30      0.983474        0.00189556       0.00201222                                         0.979032        0.00139857       0.00142909
1.2     1.6     26      30      0.982278        0.00270793       0.0018377                                         0.980852        0.00133346       0.00138724
1.6     2.1     26      30      0.990104        0.00146861       0.00157764                                         0.984507        0.00108662       0.00113685
2.1     2.4     26      30      0.989971        0.00204098       0.0022218                                         0.990304        0.00141213       0.00151799
-2.4    -2.1    30      35      0.994694        0.00125199       0.00140264                                         0.991548        0.000852203      0.000912665
-2.1    -1.6    30      35      0.992313        0.00100626       0.00106165                                         0.990692        0.000706306      0.000723674
-1.6    -1.2    30      35      0.991793        0.00109399       0.00116736                                         0.987097        0.000828928      0.00086185
-1.2    -0.8    30      35      0.990023        0.00118519       0.001296                                         0.988725        0.000719206      0.000755111
-0.8    -0.3    30      35      0.989226        0.000947724      0.00098986                                         0.986664        0.000628025      0.000644762
-0.3    0.3     30      35      0.98931         0.000802968      0.000835619                                         0.98872 0.000528122      0.000535625
0.3     0.8     30      35      0.988851        0.000924609      0.000965228                                         0.987691        0.000638102      0.000645607
0.8     1.2     30      35      0.989054        0.00118002       0.00124224                                         0.988036        0.000770866      0.000792099
1.2     1.6     30      35      0.990301        0.0011194        0.00119444                                         0.989671        0.00077374       0.000796188
